Unit,Module,Title,Subheaders,Paragraph,Generated Question,Answer_generated
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,The original BERT paper presented two variants of BERT based on the number of encoder units (which the paper calls Transformer Blocks) used in the architecture.,How many variants of BERT were presented in the original BERT paper?,Two
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,The original BERT paper presented two variants of BERT based on the number of encoder units (which the paper calls Transformer Blocks) used in the architecture.,What is the name of the number of encoder units used in the architecture?,Transformer Blocks
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT BASE is composed of 12 Encoder layers, 768 hidden units in the feedforward network and 12 attention heads for a total 110 million parameters.",How many Encoder layers is BERT BASE composed of?,12
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT BASE is composed of 12 Encoder layers, 768 hidden units in the feedforward network and 12 attention heads for a total 110 million parameters.",How many attention heads are there?,12
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT BASE is composed of 12 Encoder layers, 768 hidden units in the feedforward network and 12 attention heads for a total 110 million parameters.",What is the total number of attention heads?,12
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT LARGE is composed of 24 Encoder layers, 1024 hidden units in the feedforward network and 16 attention heads for a total of 345 million parameters.",How many Encoder layers is BERT LARGE composed of?,24
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"BERT LARGE is composed of 24 Encoder layers, 1024 hidden units in the feedforward network and 16 attention heads for a total of 345 million parameters.",How many attention heads are there?,Sixteen
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"For any NLP task, BERT is generally trained in two steps:",What is BERT generally trained in?,Two steps
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"For any NLP task, BERT is generally trained in two steps:",How many steps does BERT have?,Two
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"First, the model is trained in a semi-supervised manner on textual data. This enables the model to develop a general sense of the language and to grasp its patterns. To build good language understanding, this step requires very large amounts of text and hence, training is resource-intensive.",How is the model trained on textual data?,Semi-supervised
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"First, the model is trained in a semi-supervised manner on textual data. This enables the model to develop a general sense of the language and to grasp its patterns. To build good language understanding, this step requires very large amounts of text and hence, training is resource-intensive.",How does the model develop a general sense of the language?,By utilizing textual data.
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"First, the model is trained in a semi-supervised manner on textual data. This enables the model to develop a general sense of the language and to grasp its patterns. To build good language understanding, this step requires very large amounts of text and hence, training is resource-intensive.",What is required to build good language understanding?,Text
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Then, this pre-trained model is further fine-tuned for a specific task in a supervised manner with a labeled dataset. Additional layers can be added on top of the core model if needed. Since the pre-trained model already has some general language understanding, this step requires comparatively lesser data.",What is the name of the pre-trained model that is fine-tuned for a specific task in a supervised manner?,Model - A labeled dataset
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Then, this pre-trained model is further fine-tuned for a specific task in a supervised manner with a labeled dataset. Additional layers can be added on top of the core model if needed. Since the pre-trained model already has some general language understanding, this step requires comparatively lesser data.",What can be added on top of the core model if needed?,Additional layers
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"The first step is common across all tasks of a particular language and so models pre-trained on large amounts of text are often distributed publicly for fine-tuning directly for the task at hand. Thus, most of the time we only fine-tune. We will now try to understand the pre-training process which is done using Masked Language Modeling and Next Sentence Prediction.",What is the first step that is common across all tasks of a particular language?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"The first step is common across all tasks of a particular language and so models pre-trained on large amounts of text are often distributed publicly for fine-tuning directly for the task at hand. Thus, most of the time we only fine-tune. We will now try to understand the pre-training process which is done using Masked Language Modeling and Next Sentence Prediction.",Why are models pre-trained on large amounts of text often distributed publicly for fine-tuning directly for the task at hand?,The first step is common across all tasks of a particular language
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"The first step is common across all tasks of a particular language and so models pre-trained on large amounts of text are often distributed publicly for fine-tuning directly for the task at hand. Thus, most of the time we only fine-tune. We will now try to understand the pre-training process which is done using Masked Language Modeling and Next Sentence Prediction.",What is done using Masked Language Modeling and Next Sentence Prediction?,Pre-training process
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Before feeding word sequences into BERT, 15% of the words in each sequence are replaced with a special [MASK] token. The model then attempts to predict the original value of the masked words, based on the context provided by the other, non-masked, words in the sequence. Output embedding from BERT corresponding to the [MASK] input token is passed through a final classification layer (feed-forward+softmax) which generates a probability vector of the size of the language vocabulary. Token with the maximum probability represents BERTs prediction of the masked token.",What percentage of words in each sequence are replaced with a special [MASK] token?,15%
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Before feeding word sequences into BERT, 15% of the words in each sequence are replaced with a special [MASK] token. The model then attempts to predict the original value of the masked words, based on the context provided by the other, non-masked, words in the sequence. Output embedding from BERT corresponding to the [MASK] input token is passed through a final classification layer (feed-forward+softmax) which generates a probability vector of the size of the language vocabulary. Token with the maximum probability represents BERTs prediction of the masked token.",What does the model attempt to predict?,The original value of the masked words
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Before feeding word sequences into BERT, 15% of the words in each sequence are replaced with a special [MASK] token. The model then attempts to predict the original value of the masked words, based on the context provided by the other, non-masked, words in the sequence. Output embedding from BERT corresponding to the [MASK] input token is passed through a final classification layer (feed-forward+softmax) which generates a probability vector of the size of the language vocabulary. Token with the maximum probability represents BERTs prediction of the masked token.",How is output embedding from BERT corresponding to the input token passed through a final classification layer?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,Figure 1. Illustration of masking and input flow across the model in BERT.,What is the illustration of masking and input flow across the model in BERT?,Figure 1.
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"While training, the model receives pairs of sentences as input and through this objective, it learns to predict if the second sentence in the pair is the subsequent sentence in the original document. During training, 50% of the inputs are a pair in which the second sentence is the subsequent sentence in the original document, while in the other 50% a random sentence from the corpus is chosen as the second sentence. The assumption is that the random sentence will be disconnected from the first sentence.",When does the model receive pairs of sentences as input?,While training
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"While training, the model receives pairs of sentences as input and through this objective, it learns to predict if the second sentence in the pair is the subsequent sentence in the original document. During training, 50% of the inputs are a pair in which the second sentence is the subsequent sentence in the original document, while in the other 50% a random sentence from the corpus is chosen as the second sentence. The assumption is that the random sentence will be disconnected from the first sentence.",What percentage of the inputs in the model are a pair in which the second sentence is the subsequent sentence in the original document?,50%
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,Special tokens [CLS] and [SEP] are used to represent the start of the first and the second sentences in the input respectively. Output representation corresponding to the position of the [CLS] token is passed to a final classification layer (feed-forward+softmax) which predicts the likelihood of sentence B belonging with sentence A.,What are special tokens used to represent the start of the first and second sentences in the input?,CLS and SEP
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,Special tokens [CLS] and [SEP] are used to represent the start of the first and the second sentences in the input respectively. Output representation corresponding to the position of the [CLS] token is passed to a final classification layer (feed-forward+softmax) which predicts the likelihood of sentence B belonging with sentence A.,What is the final classification layer that predicts the likelihood of sentence B belonging with sentence A?,feed-forward+softmax
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,Figure 2: Illustration of the mechanism of next sentence prediction into BERT during training.,Figure 2: Illustration of the mechanism of next sentence prediction into BERT during training?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"When training the BERT model, Masked LM and Next Sentence Prediction are used together, with the goal of minimizing the combined loss function of the two strategies.",What is the goal of the BERT model?,minimizing the combined loss function of the two strategies
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"When training the BERT model, Masked LM and Next Sentence Prediction are used together, with the goal of minimizing the combined loss function of the two strategies.",What are the two strategies that are used together?,Masked LM and Next Sentence Prediction
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,Figure 3: Overview of fine-tuning BERT and usage of BERT in various downstream tasks.,Figure 3: Overview of fine-tuning BERT and use of what in various downstream tasks?,BERT
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,Pre-trained BERT models can be used for a wide variety of language tasks by fine-tuning. Some examples are:,What can be used for a wide variety of language tasks?,Pre-trained BERT models
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Classification tasks such as sentiment analysis are done like Next Sentence Prediction classification, by adding a classification layer on top of the Transformer output for the [CLS] token.",What type of classification tasks are done by adding a classification layer on top of the Transformer output for the [CLS] token?,Next Sentence Prediction
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Question Answering tasks, where the system receives a question regarding a text sequence and is required to mark the answer in the sequence. Using BERT, a Q&A model can be trained by learning two extra vectors that mark the beginning and the end of the answer.",What is a task called when the system receives a question regarding a text sequence and is required to mark the answer in the sequence?,Question Answering
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Question Answering tasks, where the system receives a question regarding a text sequence and is required to mark the answer in the sequence. Using BERT, a Q&A model can be trained by learning two extra vectors that mark the beginning and the end of the answer.",How can a Q&A model be trained by learning two extra vectors?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Named Entity Recognition (NER) where the system receives a text sequence and is required to mark the various types of entities (Person, Organization, Date, etc) that appear in the text. Using BERT, a NER model can be trained by feeding the output vector of each token into a classification layer that predicts the NER label. This is similar to what we saw in MLM.",What is the name of a system that receives a text sequence?,Named Entity Recognition (NER)
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Named Entity Recognition (NER) where the system receives a text sequence and is required to mark the various types of entities (Person, Organization, Date, etc) that appear in the text. Using BERT, a NER model can be trained by feeding the output vector of each token into a classification layer that predicts the NER label. This is similar to what we saw in MLM.",What is a NER model that can be trained by feeding the output vector into a classification layer that predicts the NER label?,Named Entity Recognition (BERT)
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Most plausible sentence continuation tasks where the system should choose between the best continuation for a given sentence given multiple choices. For this, all the possible concatenations are passed through BERT. A task-specific parameter vector is introduced whose dot product with the [CLS] token output representation denotes a score for each choice. These scores are normalized with a softmax layer to choose the best option.",What is one of the most plausible sentence continuation tasks?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Most plausible sentence continuation tasks where the system should choose between the best continuation for a given sentence given multiple choices. For this, all the possible concatenations are passed through BERT. A task-specific parameter vector is introduced whose dot product with the [CLS] token output representation denotes a score for each choice. These scores are normalized with a softmax layer to choose the best option.",How are all the possible concatenations passed through BERT?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Most plausible sentence continuation tasks where the system should choose between the best continuation for a given sentence given multiple choices. For this, all the possible concatenations are passed through BERT. A task-specific parameter vector is introduced whose dot product with the [CLS] token output representation denotes a score for each choice. These scores are normalized with a softmax layer to choose the best option.",What is a task-specific parameter vector introduced?,A dot product
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,The original BERT architecture has since been modified to improve performance in terms of speed or accuracy for different use cases. A few of the famous variants are discussed below.,What architecture has been modified to improve performance in terms of speed or accuracy?,BERT
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,The original BERT architecture has since been modified to improve performance in terms of speed or accuracy for different use cases. A few of the famous variants are discussed below.,What are some of the famous variants discussed below?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,ALBERT (A Lite BERT),What is a Lite BERT?,ALBERT
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,ALBERT model has 12 million parameters (with 768 hidden layers and 128 embedding layers) as compared to 110 million parameters of BERT-Base. The lighter model reduced the training time and inference time.,How many parameters does the ALBERT model have?,12 million
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,ALBERT model has 12 million parameters (with 768 hidden layers and 128 embedding layers) as compared to 110 million parameters of BERT-Base. The lighter model reduced the training time and inference time.,How many hidden layers does the BERT-Base model have compared to?,110 million
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,ALBERT model has 12 million parameters (with 768 hidden layers and 128 embedding layers) as compared to 110 million parameters of BERT-Base. The lighter model reduced the training time and inference time.,What model reduced training time and inference time?,Lighter model
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"To achieve a lesser number of parameters, cross-layer parameter sharing is used in which the parameter of only the first encoder is learned and the same is used across all encoders. Instead of keeping the embedding layer at 768, the embedding layer is also reduced by factorization to 128 layers.",What is used to achieve a lesser number of parameters?,Cross-layer parameter sharing
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"To achieve a lesser number of parameters, cross-layer parameter sharing is used in which the parameter of only the first encoder is learned and the same is used across all encoders. Instead of keeping the embedding layer at 768, the embedding layer is also reduced by factorization to 128 layers.",What is the value of a cross-layer parameter sharing?,0
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"To achieve a lesser number of parameters, cross-layer parameter sharing is used in which the parameter of only the first encoder is learned and the same is used across all encoders. Instead of keeping the embedding layer at 768, the embedding layer is also reduced by factorization to 128 layers.",How is the embedding layer reduced?,By factorization to 128 layers
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"In addition to ALBERT being light, unlike BERT which works on NSP, ALBERT works on a concept called SOP (Sentence Order Prediction). SOP is a cclassification modeld where the goal is to cclassifyd whether the 2 given sentences are swapped or not i.e., whether they are in the right order.",What concept does ALBERT work on?,SOP
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"In addition to ALBERT being light, unlike BERT which works on NSP, ALBERT works on a concept called SOP (Sentence Order Prediction). SOP is a cclassification modeld where the goal is to cclassifyd whether the 2 given sentences are swapped or not i.e., whether they are in the right order.",What is a cclassification model?,SOP
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"In addition to ALBERT being light, unlike BERT which works on NSP, ALBERT works on a concept called SOP (Sentence Order Prediction). SOP is a cclassification modeld where the goal is to cclassifyd whether the 2 given sentences are swapped or not i.e., whether they are in the right order.",How many sentences are swapped?,2
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,DistilBERT (Distilled BERT),DistilBERT (Distilled BERT)?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"DistilBERT has 40% fewer parameters than BERT-Base, and runs 60% faster while preserving over 95% of BERTs performances. It reduced the number of layers in BERT by a factor of two.",How much less parameters does DistilBERT have than BERT-Base?,40%
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"DistilBERT has 40% fewer parameters than BERT-Base, and runs 60% faster while preserving over 95% of BERTs performances. It reduced the number of layers in BERT by a factor of two.",What percentage of BERTs performs faster?,95%
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"DistilBERT has 40% fewer parameters than BERT-Base, and runs 60% faster while preserving over 95% of BERTs performances. It reduced the number of layers in BERT by a factor of two.",How much more layers are in BERT?,two
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"DistilBERT uses a technique called distillation, which approximates BERT, the large neural network, by a smaller one. The idea is that once a large neural network (teacher) has been trained, its full output distributions (its knowledge) can be approximated using a smaller network (student). This transfer learning technique is called teacher-student training.",What is distillation?,A technique
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"DistilBERT uses a technique called distillation, which approximates BERT, the large neural network, by a smaller one. The idea is that once a large neural network (teacher) has been trained, its full output distributions (its knowledge) can be approximated using a smaller network (student). This transfer learning technique is called teacher-student training.",What is the name of the technique used by DistilBERT?,distillation
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"DistilBERT uses a technique called distillation, which approximates BERT, the large neural network, by a smaller one. The idea is that once a large neural network (teacher) has been trained, its full output distributions (its knowledge) can be approximated using a smaller network (student). This transfer learning technique is called teacher-student training.",How can a large neural network be approximated by a smaller network?,student
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,RoBERTa (Robustly Optimized BERT pre-training Approach),What is RoBERTa?,A robustly Optimized BERT pre-training Approach
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,RoBERTa (Robustly Optimized BERT pre-training Approach),What is a BERT pre training approach?,RoBERTa
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Introduced at Facebook, RoBERTa is a retraining of BERT with improved training methodology, 1000% more data and compute power.",What is the name of the retraining of BERT?,RoBERTa
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Introduced at Facebook, RoBERTa is a retraining of BERT with improved training methodology, 1000% more data and compute power.",How much more data and compute power is used in BERT's training?,1000%
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Introduced at Facebook, RoBERTa is a retraining of BERT with improved training methodology, 1000% more data and compute power.",What does RoBERTa have?,retraining of BERT
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"To improve the training procedure, RoBERTa removed the Next Sentence Prediction (NSP) task from BERTs pre-training and introduced a dynamic masking so that the masked token changes during the training epochs. Larger batch-training sizes were also found to be more useful in the training procedure.",What task did RoBERTa remove from the BERTs pre-training?,Next Sentence Prediction (NSP)
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"To improve the training procedure, RoBERTa removed the Next Sentence Prediction (NSP) task from BERTs pre-training and introduced a dynamic masking so that the masked token changes during the training epochs. Larger batch-training sizes were also found to be more useful in the training procedure.",What did the masked token change during the training epochs?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"To improve the training procedure, RoBERTa removed the Next Sentence Prediction (NSP) task from BERTs pre-training and introduced a dynamic masking so that the masked token changes during the training epochs. Larger batch-training sizes were also found to be more useful in the training procedure.",How many batch-training sizes were found to be useful in the training procedure?,Larger
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,ELECTRA (Efficiently Learning an Encoder that Classifies Token Replacements Accurately),ELECTRA (Efficient Learning an Encoder that Classifies Token Replacements Accurately)?,
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Instead of MLM for pre-training, ELECTRA uses a task called cReplaced Token Detectiond (RTD). In RTD, instead of masking the token, the token is replaced by a wrong token and the model is expected to classify, whether the tokens are replaced with wrong or not.",What does ELECTRA use instead of MLM for pre-training?,a task called cReplaced Token Detection (RTD)
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Instead of MLM for pre-training, ELECTRA uses a task called cReplaced Token Detectiond (RTD). In RTD, instead of masking the token, the token is replaced by a wrong token and the model is expected to classify, whether the tokens are replaced with wrong or not.",What is the name of the task that ELEcTRA uses instead of masking the token?,cReplaced Token Detection (RTD)
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Instead of MLM for pre-training, ELECTRA uses a task called cReplaced Token Detectiond (RTD). In RTD, instead of masking the token, the token is replaced by a wrong token and the model is expected to classify, whether the tokens are replaced with wrong or not.","In RTD, what is the model expected to classify?",A wrong token
Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"This method of pre-training the model as a discriminator rather than a generator is more sample-efficient. As a result, the learned contextual representations outperform the ones learned by BERT given the same model size, data, and compute.",What method of pre-training the model as a discriminator rather than a generator is more sample-efficient?,This method of pre-training the model as a discriminator rather than a generator is
