,Unit,Module,Title,Subheaders,Paragraph,Generated Question,Key Concepts,Information Score
10,Electronic Structure and Periodic Properties,Introduction,Electronic Structure and Periodic Properties Introduction,,"            The Crab Nebula consists of remnants of a supernova (the explosion of a                star). NASAs Hubble Space Telescope produced this composite image. Measurements                of the emitted light wavelengths enabled astronomers to identify the elements in                the nebula, determining that it contains specific ions including S+ (green                filaments) and O2+ (red filaments). (credit: modification of work by NASA and                ESA)",Who produced the composite image?,"['contain', 'consist', 'filament', 'light', 'composite', 'modification', 'measurement', 'astronomer', 'remnant', 'image', 'enable', 'credit', 's+', 'explosion', 'include', 'green', 'work', 'nebula', 'star', 'element', 'red', 'emitted', 'specific', 'wavelength', 'determine', 'identify', 'ion', 'produce']",0.0
11,Electronic Structure and Periodic Properties,Introduction,Electronic Structure and Periodic Properties Introduction,,"            The Crab Nebula consists of remnants of a supernova (the explosion of a                star). NASAs Hubble Space Telescope produced this composite image. Measurements                of the emitted light wavelengths enabled astronomers to identify the elements in                the nebula, determining that it contains specific ions including S+ (green                filaments) and O2+ (red filaments). (credit: modification of work by NASA and                ESA)",How did astronomers determine the nebula contains specific ions?,"['contain', 'consist', 'filament', 'light', 'composite', 'modification', 'measurement', 'astronomer', 'remnant', 'image', 'enable', 'credit', 's+', 'explosion', 'include', 'green', 'work', 'nebula', 'star', 'element', 'red', 'emitted', 'specific', 'wavelength', 'determine', 'identify', 'ion', 'produce']",0.0
12,Electronic Structure and Periodic Properties,Introduction,Electronic Structure and Periodic Properties Introduction,,"In 1054, Chinese astronomers recorded the appearance of a cguest stard in the sky,            visible even during the day, which then disappeared slowly over the next two years. The            sudden appearance was due to a supernova explosion, which was much brighter than the            original star. Even though this supernova was observed almost a millennium ago, the            remaining Crab Nebula continues to release energy today. It emits not only visible light            but also infrared light, X-rays, and other forms of electromagnetic radiation. The            nebula emits both continuous spectra (the blue-white glow) and atomic emission spectra            (the colored filaments). In this chapter, we will discuss light and other forms of            electromagnetic radiation and how they are related to the electronic structure of atoms.            We will also see how this radiation can be used to identify elements, even from            thousands of light years away.",In what year did Chinese astronomers record the appearance of a cguest stard in the sky?,"['infrare', 'chinese', 'filament', 'structure', 'white', 'light', 'ray', 'millennium', 'day', 'astronomer', 'continue', 'remain', 'visible', 'atom', 'glow', 'emission', 'continuous', 'release', 'discuss', 'observe', 'X', 'year', 'original', 'sudden', 'nebula', 'star', 'element', 'atomic', 'thousand', 'electromagnetic', 'relate', 'appearance', 'bright', 'radiation', 'cgu', 'form', 'stard', 'energy', 'sky', 'today', 'record', 'blue', 'emit', '-', 'colored', 'chapter', 'identify', 'explosion', 'electronic', 'disappear']",1.571428571428571
13,Electronic Structure and Periodic Properties,Introduction,Electronic Structure and Periodic Properties Introduction,,"In 1054, Chinese astronomers recorded the appearance of a cguest stard in the sky,            visible even during the day, which then disappeared slowly over the next two years. The            sudden appearance was due to a supernova explosion, which was much brighter than the            original star. Even though this supernova was observed almost a millennium ago, the            remaining Crab Nebula continues to release energy today. It emits not only visible light            but also infrared light, X-rays, and other forms of electromagnetic radiation. The            nebula emits both continuous spectra (the blue-white glow) and atomic emission spectra            (the colored filaments). In this chapter, we will discuss light and other forms of            electromagnetic radiation and how they are related to the electronic structure of atoms.            We will also see how this radiation can be used to identify elements, even from            thousands of light years away.",What was the result of the sudden appearance of the supernova explosion?,"['infrare', 'chinese', 'filament', 'structure', 'white', 'light', 'ray', 'millennium', 'day', 'astronomer', 'continue', 'remain', 'visible', 'atom', 'glow', 'emission', 'continuous', 'release', 'discuss', 'observe', 'X', 'year', 'original', 'sudden', 'nebula', 'star', 'element', 'atomic', 'thousand', 'electromagnetic', 'relate', 'appearance', 'bright', 'radiation', 'cgu', 'form', 'stard', 'energy', 'sky', 'today', 'record', 'blue', 'emit', '-', 'colored', 'chapter', 'identify', 'explosion', 'electronic', 'disappear']",0.0
14,Electronic Structure and Periodic Properties,Introduction,Electronic Structure and Periodic Properties Introduction,,"In 1054, Chinese astronomers recorded the appearance of a cguest stard in the sky,            visible even during the day, which then disappeared slowly over the next two years. The            sudden appearance was due to a supernova explosion, which was much brighter than the            original star. Even though this supernova was observed almost a millennium ago, the            remaining Crab Nebula continues to release energy today. It emits not only visible light            but also infrared light, X-rays, and other forms of electromagnetic radiation. The            nebula emits both continuous spectra (the blue-white glow) and atomic emission spectra            (the colored filaments). In this chapter, we will discuss light and other forms of            electromagnetic radiation and how they are related to the electronic structure of atoms.            We will also see how this radiation can be used to identify elements, even from            thousands of light years away.",The remaining Crab Nebula continues to release what energy?,"['infrare', 'chinese', 'filament', 'structure', 'white', 'light', 'ray', 'millennium', 'day', 'astronomer', 'continue', 'remain', 'visible', 'atom', 'glow', 'emission', 'continuous', 'release', 'discuss', 'observe', 'X', 'year', 'original', 'sudden', 'nebula', 'star', 'element', 'atomic', 'thousand', 'electromagnetic', 'relate', 'appearance', 'bright', 'radiation', 'cgu', 'form', 'stard', 'energy', 'sky', 'today', 'record', 'blue', 'emit', '-', 'colored', 'chapter', 'identify', 'explosion', 'electronic', 'disappear']",0.0
15,Gases,Introduction,Introduction to Gases,,"We are surrounded by an ocean of gasthe atmosphereand many of the properties of gases            are familiar to us from our daily activities. Heated gases expand, which can make a hot            air balloon rise or cause a blowout in a bicycle tire left in the sun on a hot day.",What is the name of the ocean in which we are surrounded by gasthe atmosphere?,"['gas', 'hot', 'bicycle', 'air', 'day', 'ocean', 'surround', 'sun', 'expand', 'balloon', 'cause', 'leave', 'tire', 'heated', 'rise', 'daily', 'activity', 'familiar', 'property', 'blowout']",0.0
16,Gases,Introduction,Introduction to Gases,,"We are surrounded by an ocean of gasthe atmosphereand many of the properties of gases            are familiar to us from our daily activities. Heated gases expand, which can make a hot            air balloon rise or cause a blowout in a bicycle tire left in the sun on a hot day.",What can cause a blowout in a bicycle tire?,"['gas', 'hot', 'bicycle', 'air', 'day', 'ocean', 'surround', 'sun', 'expand', 'balloon', 'cause', 'leave', 'tire', 'heated', 'rise', 'daily', 'activity', 'familiar', 'property', 'blowout']",1.5
17,Gases,Introduction,Introduction to Gases,,"Gases have played an important part in the development of chemistry. In the seventeenth            and eighteenth centuries, many scientists investigated gas behavior, providing the first            mathematical descriptions of the behavior of matter.",What has played an important part in the development of chemistry?,"['gas', 'scientist', 'important', 'eighteenth', 'chemistry', 'mathematical', 'description', 'investigate', 'matter', 'provide', 'century', 'play', 'seventeenth', 'behavior', 'development']",0.0
18,Gases,Introduction,Introduction to Gases,,"Gases have played an important part in the development of chemistry. In the seventeenth            and eighteenth centuries, many scientists investigated gas behavior, providing the first            mathematical descriptions of the behavior of matter.",In what century did many scientists investigate gas behavior?,"['gas', 'scientist', 'important', 'eighteenth', 'chemistry', 'mathematical', 'description', 'investigate', 'matter', 'provide', 'century', 'play', 'seventeenth', 'behavior', 'development']",0.0
19,Gases,Introduction,Introduction to Gases,,"Gases have played an important part in the development of chemistry. In the seventeenth            and eighteenth centuries, many scientists investigated gas behavior, providing the first            mathematical descriptions of the behavior of matter.",What were the first mathematical descriptions of matter?,"['gas', 'scientist', 'important', 'eighteenth', 'chemistry', 'mathematical', 'description', 'investigate', 'matter', 'provide', 'century', 'play', 'seventeenth', 'behavior', 'development']",0.0
20,Gases,Introduction,Introduction to Gases,,"In this unit, we will examine the relationships between gas temperature, pressure,            amount, and volume. We will study a simple theoretical model and use it to analyze the            experimental behavior of gases. The results of these analyses will show us the            limitations of the theory and how to improve on it.","In what unit will we examine the relationships between gas temperature, pressure, amount, and volume?","['gas', 'improve', 'simple', 'relationship', 'theory', 'theoretical', 'behavior', 'temperature', 'analysis', 'pressure', 'limitation', 'volume', 'unit', 'use', 'study', 'result', 'examine', 'experimental', 'model', 'analyze']",0.0
21,Gases,Introduction,Introduction to Gases,,"In this unit, we will examine the relationships between gas temperature, pressure,            amount, and volume. We will study a simple theoretical model and use it to analyze the            experimental behavior of gases. The results of these analyses will show us the            limitations of the theory and how to improve on it.",What model will we use to analyze the experimental behavior of gases?,"['gas', 'improve', 'simple', 'relationship', 'theory', 'theoretical', 'behavior', 'temperature', 'analysis', 'pressure', 'limitation', 'volume', 'unit', 'use', 'study', 'result', 'examine', 'experimental', 'model', 'analyze']",0.0
22,Reactions and Stoichiometry,Introduction,Introduction to Chemical Reactions and Stoichiometry,,"Solid-fuel rockets are a central feature in the worlds space exploration programs,            including the new Space Launch System being developed by the National Aeronautics and            Space Administration (NASA) to replace the retired Space Shuttle fleet. The engines of            these rockets rely on carefully prepared solid mixtures of chemicals combined in            precisely measured amounts. Igniting the mixture initiates a vigorous chemical reaction            that rapidly generates large amounts of gaseous products. These gases are ejected from            the rocket engine through its nozzle, providing the thrust needed to propel heavy            payloads into space. Both the nature of this chemical reaction and the relationships            between the amounts of the substances being consumed and produced by the reaction are            critically important considerations that determine the success of the technology. This            unit will describe how to symbolize chemical reactions using chemical equations, how to            classify some common chemical reactions by identifying patterns of reactivity, and how            to determine the quantitative relations between the amounts of substances involved in            chemical reactionsthat is, the reaction stoichiometry.",What is a central feature of the worlds space exploration programs?,"['relation', 'fuel', 'gas', 'initiate', 'classify', 'common', 'new', 'nozzle', 'produce', 'payload', 'reactionsthat', 'relationship', 'reactivity', 'technology', 'success', 'mixture', 'reaction', 'describe', 'involve', 'important', 'nature', 'propel', 'include', 'retire', 'world', 'heavy', 'ignite', 'pattern', 'rocket', 'rely', 'prepare', 'vigorous', 'product', 'program', 'space', 'quantitative', 'develop', 'amount', 'consume', 'stoichiometry', 'equation', 'large', 'substance', 'unit', 'solid', 'central', 'eject', 'chemical', 'gaseous', 'feature', 'need', 'consideration', 'symbolize', 'combine', 'replace', 'engine', 'measure', 'thrust', 'determine', 'generate', 'provide', 'identify', 'fleet', 'exploration']",2.727272727272726
23,Reactions and Stoichiometry,Introduction,Introduction to Chemical Reactions and Stoichiometry,,"Solid-fuel rockets are a central feature in the worlds space exploration programs,            including the new Space Launch System being developed by the National Aeronautics and            Space Administration (NASA) to replace the retired Space Shuttle fleet. The engines of            these rockets rely on carefully prepared solid mixtures of chemicals combined in            precisely measured amounts. Igniting the mixture initiates a vigorous chemical reaction            that rapidly generates large amounts of gaseous products. These gases are ejected from            the rocket engine through its nozzle, providing the thrust needed to propel heavy            payloads into space. Both the nature of this chemical reaction and the relationships            between the amounts of the substances being consumed and produced by the reaction are            critically important considerations that determine the success of the technology. This            unit will describe how to symbolize chemical reactions using chemical equations, how to            classify some common chemical reactions by identifying patterns of reactivity, and how            to determine the quantitative relations between the amounts of substances involved in            chemical reactionsthat is, the reaction stoichiometry.",What is the new Space Launch System developed by the National Aeronautics and Space Administration to replace the retired Space Shuttle fleet?,"['relation', 'fuel', 'gas', 'initiate', 'classify', 'common', 'new', 'nozzle', 'produce', 'payload', 'reactionsthat', 'relationship', 'reactivity', 'technology', 'success', 'mixture', 'reaction', 'describe', 'involve', 'important', 'nature', 'propel', 'include', 'retire', 'world', 'heavy', 'ignite', 'pattern', 'rocket', 'rely', 'prepare', 'vigorous', 'product', 'program', 'space', 'quantitative', 'develop', 'amount', 'consume', 'stoichiometry', 'equation', 'large', 'substance', 'unit', 'solid', 'central', 'eject', 'chemical', 'gaseous', 'feature', 'need', 'consideration', 'symbolize', 'combine', 'replace', 'engine', 'measure', 'thrust', 'determine', 'generate', 'provide', 'identify', 'fleet', 'exploration']",0.0
24,Reactions and Stoichiometry,Introduction,Introduction to Chemical Reactions and Stoichiometry,,"Solid-fuel rockets are a central feature in the worlds space exploration programs,            including the new Space Launch System being developed by the National Aeronautics and            Space Administration (NASA) to replace the retired Space Shuttle fleet. The engines of            these rockets rely on carefully prepared solid mixtures of chemicals combined in            precisely measured amounts. Igniting the mixture initiates a vigorous chemical reaction            that rapidly generates large amounts of gaseous products. These gases are ejected from            the rocket engine through its nozzle, providing the thrust needed to propel heavy            payloads into space. Both the nature of this chemical reaction and the relationships            between the amounts of the substances being consumed and produced by the reaction are            critically important considerations that determine the success of the technology. This            unit will describe how to symbolize chemical reactions using chemical equations, how to            classify some common chemical reactions by identifying patterns of reactivity, and how            to determine the quantitative relations between the amounts of substances involved in            chemical reactionsthat is, the reaction stoichiometry.",How are solid mixtures of chemicals combined in precisely measured amounts?,"['relation', 'fuel', 'gas', 'initiate', 'classify', 'common', 'new', 'nozzle', 'produce', 'payload', 'reactionsthat', 'relationship', 'reactivity', 'technology', 'success', 'mixture', 'reaction', 'describe', 'involve', 'important', 'nature', 'propel', 'include', 'retire', 'world', 'heavy', 'ignite', 'pattern', 'rocket', 'rely', 'prepare', 'vigorous', 'product', 'program', 'space', 'quantitative', 'develop', 'amount', 'consume', 'stoichiometry', 'equation', 'large', 'substance', 'unit', 'solid', 'central', 'eject', 'chemical', 'gaseous', 'feature', 'need', 'consideration', 'symbolize', 'combine', 'replace', 'engine', 'measure', 'thrust', 'determine', 'generate', 'provide', 'identify', 'fleet', 'exploration']",0.0
25,Reactions and Stoichiometry,Introduction,Introduction to Chemical Reactions and Stoichiometry,,"Solid-fuel rockets are a central feature in the worlds space exploration programs,            including the new Space Launch System being developed by the National Aeronautics and            Space Administration (NASA) to replace the retired Space Shuttle fleet. The engines of            these rockets rely on carefully prepared solid mixtures of chemicals combined in            precisely measured amounts. Igniting the mixture initiates a vigorous chemical reaction            that rapidly generates large amounts of gaseous products. These gases are ejected from            the rocket engine through its nozzle, providing the thrust needed to propel heavy            payloads into space. Both the nature of this chemical reaction and the relationships            between the amounts of the substances being consumed and produced by the reaction are            critically important considerations that determine the success of the technology. This            unit will describe how to symbolize chemical reactions using chemical equations, how to            classify some common chemical reactions by identifying patterns of reactivity, and how            to determine the quantitative relations between the amounts of substances involved in            chemical reactionsthat is, the reaction stoichiometry.",When is the mixture ejected from the rocket engine through its nozzle?,"['relation', 'fuel', 'gas', 'initiate', 'classify', 'common', 'new', 'nozzle', 'produce', 'payload', 'reactionsthat', 'relationship', 'reactivity', 'technology', 'success', 'mixture', 'reaction', 'describe', 'involve', 'important', 'nature', 'propel', 'include', 'retire', 'world', 'heavy', 'ignite', 'pattern', 'rocket', 'rely', 'prepare', 'vigorous', 'product', 'program', 'space', 'quantitative', 'develop', 'amount', 'consume', 'stoichiometry', 'equation', 'large', 'substance', 'unit', 'solid', 'central', 'eject', 'chemical', 'gaseous', 'feature', 'need', 'consideration', 'symbolize', 'combine', 'replace', 'engine', 'measure', 'thrust', 'determine', 'generate', 'provide', 'identify', 'fleet', 'exploration']",0.0
26,Reactions and Stoichiometry,Introduction,Introduction to Chemical Reactions and Stoichiometry,,Adapted fromOpenstax            Chemistryunder  Creative Commons                Attribution 4.0 License.,Adapted fromOpenstax Chemistryunder Creative Commons Attribution 4.0 License?,"['fromopenstax', 'license', 'adapt']",0.0
27,Reactions and Stoichiometry,Introduction,Introduction to Chemical Reactions and Stoichiometry,,Download for free at .,What is a free download at.pdf?,['free'],0.0
28,Solids and Liquids,Introduction,Introduction,,"The great distances between atoms and molecules in a gaseous phase, and the corresponding            absence of any significant interactions between them, allows for simple descriptions of            many physical properties that are the same for all gases, regardless of their chemical            identities. As described in the final module on gases, this situation            changes at high pressures and low temperaturesconditions that permit the atoms and            molecules to interact to a much greater extent. In the liquid and solid states, these            interactions are of considerable strength and play an important role in determining a            number of physical properties that do depend on the chemical identity of the substance.            In this unit, the nature of these interactions and their effects on various physical            properties of liquid and solid phases will be examined.",What does the great distance between atoms and molecules in a gaseous phase allow for?,"['extent', 'gas', 'effect', 'simple', 'permit', 'final', 'molecule', 'corresponding', 'phase', 'temperaturescondition', 'describe', 'identity', 'situation', 'important', 'depend', 'strength', 'atom', 'nature', 'number', 'play', 'state', 'considerable', 'pressure', 'significant', 'absence', 'distance', 'module', 'low', 'physical', 'great', 'role', 'substance', 'unit', 'solid', 'interact', 'change', 'chemical', 'gaseous', 'liquid', 'allow', 'description', 'determine', 'interaction', 'examine', 'high', 'property']",1.5999999999999999
29,Solids and Liquids,Introduction,Introduction,,"The great distances between atoms and molecules in a gaseous phase, and the corresponding            absence of any significant interactions between them, allows for simple descriptions of            many physical properties that are the same for all gases, regardless of their chemical            identities. As described in the final module on gases, this situation            changes at high pressures and low temperaturesconditions that permit the atoms and            molecules to interact to a much greater extent. In the liquid and solid states, these            interactions are of considerable strength and play an important role in determining a            number of physical properties that do depend on the chemical identity of the substance.            In this unit, the nature of these interactions and their effects on various physical            properties of liquid and solid phases will be examined.",What does this situation change at high pressures and low temperatures conditions that permit the molecules to interact to a much greater extent?,"['extent', 'gas', 'effect', 'simple', 'permit', 'final', 'molecule', 'corresponding', 'phase', 'temperaturescondition', 'describe', 'identity', 'situation', 'important', 'depend', 'strength', 'atom', 'nature', 'number', 'play', 'state', 'considerable', 'pressure', 'significant', 'absence', 'distance', 'module', 'low', 'physical', 'great', 'role', 'substance', 'unit', 'solid', 'interact', 'change', 'chemical', 'gaseous', 'liquid', 'allow', 'description', 'determine', 'interaction', 'examine', 'high', 'property']",1.0909090909090906
30,Solids and Liquids,Introduction,Introduction,,"The great distances between atoms and molecules in a gaseous phase, and the corresponding            absence of any significant interactions between them, allows for simple descriptions of            many physical properties that are the same for all gases, regardless of their chemical            identities. As described in the final module on gases, this situation            changes at high pressures and low temperaturesconditions that permit the atoms and            molecules to interact to a much greater extent. In the liquid and solid states, these            interactions are of considerable strength and play an important role in determining a            number of physical properties that do depend on the chemical identity of the substance.            In this unit, the nature of these interactions and their effects on various physical            properties of liquid and solid phases will be examined.","In liquid and solid states, these interactions are of considerable strength and play an important role in determining what?","['extent', 'gas', 'effect', 'simple', 'permit', 'final', 'molecule', 'corresponding', 'phase', 'temperaturescondition', 'describe', 'identity', 'situation', 'important', 'depend', 'strength', 'atom', 'nature', 'number', 'play', 'state', 'considerable', 'pressure', 'significant', 'absence', 'distance', 'module', 'low', 'physical', 'great', 'role', 'substance', 'unit', 'solid', 'interact', 'change', 'chemical', 'gaseous', 'liquid', 'allow', 'description', 'determine', 'interaction', 'examine', 'high', 'property']",0.0
