,Unnamed: 0,File_name,Concepts,Questions
11,0,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.",Why do the colligative properties of a solution depend only on the number of solute species dissolved?
12,1,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.", What is the difference between the effects of nonelectrolytes and electrolytes on the freezing point of a solution?
13,2,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.", When would you need to convert grams to moles using molar mass?
14,3,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.", How do you calculate the number of moles of ions present in a solution?
15,4,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.", What is the process for calculating the molality of ions in a solution?
16,5,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.", Why is there a direct proportionality between the change in freezing point and molal concentration?
17,6,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.", How do you determine the new freezing point from the freezing point of the pure solvent and the change?
18,7,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.", What is the Van't Hoff factor (i) and how is it calculated?
19,8,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.", Why are there discrepancies between measured and expected colligative property values for ionic compounds?
20,9,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.",. How can the incomplete ionization of strong electrolytes be explained?
21,10,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.",. What are residual interionic attractions and how do they contribute to the formation of ion pairs in solution?
22,11,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.",. How are effective concentrations of ions in dilute solutions calculated?
23,12,/content/x-oli-workbook_page/p7_collig_electrolyte.xml," Colligative properties of a solution depend on the number of solute species dissolved., Nonelectrolytes and electrolytes have different effects on the freezing point of a solution., Conversion of grams to moles using molar mass., Calculation of the number of moles of ions present in a solution., Calculation of molality of ions in a solution., Direct proportionality between the change in freezing point and molal concentration., Determination of the new freezing point from the freezing point of the pure solvent and the change., Van't Hoff factor (i) as the ratio of solute particles in solution to the number of formula units dissolved., Discrepancies between measured and expected colligative property values for ionic compounds.,. Explanation of incomplete ionization of strong electrolytes.,. Residual interionic attractions and the formation of ion pairs in solution.,. Effective concentrations of ions in dilute solutions.,. Van't Hoff factors for electrolytes in a 0.05 m solution.",. What are the Van't Hoff factors for electrolytes in a 0.05 m solution?
25,0,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter","Calorimetry: Chemical Reactions
   - What is the role of calorimetry in studying chemical reactions?"
26,1,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter",". Principles of calorimetry
   - What are the basic principles of calorimetry?"
27,2,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter",". Heat absorbed by the calorimeter
   - How is the heat absorbed by the calorimeter calculated?"
28,3,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter",". Energy exchange with the surroundings
   - How does energy exchange with the surroundings affect calorimetry measurements?"
29,4,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter",". Conservation of energy in chemical reactions
   - Why is the principle of conservation of energy important in calorimetry?"
30,5,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter",". Heat produced or consumed in a reaction
   - How can calorimetry be used to measure the heat produced or consumed in a reaction?"
31,6,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter",". Heat absorbed or lost by the solution
   - How is the heat absorbed or lost by the solution calculated in calorimetry?"
32,7,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter",". Calculation of heat in a reaction
   - How is the heat in a reaction calculated using calorimetry?"
33,8,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter",". Specific heat, mass, and temperature change in the solution
   - How do the specific heat, mass, and temperature change in the solution affect the calorimetry calculations?"
34,9,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter","0. Assumptions and approximations in calorimetry calculations
    - What are some common assumptions and approximations made in calorimetry calculations?"
35,10,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter","1. Bomb calorimeter
    - What is a bomb calorimeter and how is it used in calorimetry?"
36,11,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter","2. Heat absorbed by the calorimeter and solution in a bomb calorimeter
    - How is the heat absorbed by the calorimeter and solution calculated in a bomb calorimeter?"
37,12,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter","3. Calculation of heat in a bomb calorimeter
    - How is the heat in a reaction calculated using a bomb calorimeter?"
38,13,/content/x-oli-workbook_page/p5_calorimetry_chemical.xml," Calorimetry: Chemical Reactions, Principles of calorimetry, Heat absorbed by the calorimeter, Energy exchange with the surroundings, Conservation of energy in chemical reactions, Heat produced or consumed in a reaction, Heat absorbed or lost by the solution, Calculation of heat in a reaction, Specific heat, mass, and temperature change in the solution,. Assumptions and approximations in calorimetry calculations,. Bomb calorimeter,. Heat absorbed by the calorimeter and solution in a bomb calorimeter,. Calculation of heat in a bomb calorimeter,. Heat capacity of the bomb calorimeter,. Combustion reactions in a bomb calorimeter,. Calculation of heat in a combustion reaction using a bomb calorimeter","4. Heat capacity of the bomb calorimeter
    - How is the heat capacity of a bomb calorimeter determined?"
