Unit,Module,Title,Text,Subheaders
Foundations of Chemistry,Elements and Compounds,Molecular Compounds,"Many compounds do not contain ions but instead consist solely of discrete, neutral\n            molecules. These molecular compounds (covalent compounds) result when atoms share,\n            rather than transfer (gain or lose), electrons. Covalent bonding is an important and\n            extensive concept in chemistry, and it will be treated in considerable detail later in\n            this course. We can often identify molecular compounds on the basis of their physical\n            properties. Under normal conditions, molecular compounds often exist as gases,\n            low-boiling liquids, and low-melting solids, although many important exceptions\n            exist.
Whereas ionic compounds are usually formed when a metal and a nonmetal combine, covalent\n            compounds are usually formed by a combination of nonmetals. Thus, the periodic table can\n            help us recognize many of the compounds that are covalent. While we can use the\n            positions of a compounds elements in the periodic table to predict whether it is ionic\n            or covalent at this point in our study of chemistry, you should be aware that this is a\n            very simplistic approach that does not account for a number of interesting exceptions.\n            Shades of gray exist between ionic and molecular compounds, and youll learn more about\n            those later.
The bonding characteristics of inorganic molecular compounds are different from\n                    ionic compounds, and they are named using a different system as well. The\n                    charges of cations and anions dictate their ratios in ionic compounds, so\n                    specifying the names of the ions provides sufficient information to determine\n                    chemical formulas. However, because covalent bonding allows for significant\n                    variation in the combination ratios of the atoms in a molecule, the names for\n                    molecular compounds must explicitly identify these ratios.
When two nonmetallic elements form a molecular compound, several combination\n                    ratios are often possible. For example, carbon and oxygen can form the compounds\n                    CO and CO2. Since these are different substances with different\n                    properties, they cannot both have the same name (they cannot both be called\n                    carbon oxide). To deal with this situation, we use a naming method that is\n                    somewhat similar to that used for ionic compounds, but with added prefixes to\n                    specify the numbers of atoms of each element. The name of the more metallic\n                    element (the one farther to the left and/or bottom of the periodic table) is\n                    first, followed by the name of the more nonmetallic element (the one farther to\n                    the right and/or top) with its ending changed to the suffix ide. The numbers of\n                    atoms of each element are designated by the Greek prefixes shown in the table\n                    below.
When only one atom of the first element is present, the prefix mono- is usually\n                    deleted from that part. Thus, CO is named carbon monoxide, and CO2 is\n                    called carbon dioxide. When two vowels are adjacent, the ""a"" in the Greek prefix\n                    is usually dropped. Some other examples are shown in table below.
There are a few common names that you will encounter as you continue your study\n                    of chemistry. For example, although NO is often called nitric oxide, its proper\n                    name is nitrogen monoxide. Similarly, N2O is known as nitrous oxide even though\n                    our rules would specify the name dinitrogen monoxide. (And H2O is usually called\n                    water, not dihydrogen monoxide.) You should commit to memory the common names of\n                    compounds as you encounter them.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Electronic Structure and Periodic Properties,Quantum Theory,Module Summary and Quiz,"Macroscopic objects act as particles. Microscopic objects (such as electrons)\n                    have properties of both a particle and a wave. Their exact trajectories cannot\n                    be determined. The quantum mechanical model of atoms describes the\n                    three-dimensional position of the electron in a probabilistic manner according\n                    to a mathematical function called a wavefunction, often denoted as \xcf. Atomic\n                    wavefunctions are also called orbitals. The squared magnitude of the\n                    wavefunction describes the distribution of the probability of finding the\n                    electron in a particular region in space. Therefore, atomic orbitals describe\n                    the areas in an atom where electrons are most likely to be found.
An atomic orbital is characterized by three quantum numbers. The principal\n                    quantum number, n, can be any positive integer. The general region for value of\n                    energy of the orbital and the average distance of an electron from the nucleus\n                    are related to n. Orbitals having the same value of n are said to be in the same\n                    shell. The angular momentum quantum number, l, can have any integer value from 0\n                    to n  1. This quantum number describes the shape or type of the orbital.\n                    Orbitals with the same principle quantum number and the same l value belong to\n                    the same subshell. The magnetic quantum number, ml, with 2l + 1 values ranging\n                    from l to +l, describes the orientation of the orbital in space. In addition,\n                    each electron has a spin quantum number, ms, that can be equal to . No two\n                    electrons in the same atom can have the same set of values for all the four\n                    quantum numbers.
The relative energy of the subshells determine the order in which atomic orbitals\n                    are filled (1s, 2s, 2p, 3s, 3p, 4s, 3d, 4p, and so on). Electron configurations\n                    and orbital diagrams can be determined by applying the Pauli exclusion principle\n                    (no two electrons can have the same set of four quantum numbers) and Hunds rule\n                    (whenever possible, electrons retain unpaired spins in degenerate orbitals).
Electrons in the outermost orbitals, called valence electrons, are responsible\n                    for most of the chemical behavior of elements. In the periodic table, elements\n                    with analogous valence electron configurations usually occur within the same\n                    group. There are some exceptions to the predicted filling order, particularly\n                    when half-filled or completely filled orbitals can be formed. The periodic table\n                    can be divided into three categories based on the orbital in which the last\n                    electron to be added is placed: main group elements (s and p orbitals),\n                    transition elements (d orbitals), and inner transition elements (f\n                    orbitals).
Before you take the quiz, please evaluate your understanding of the learning\n                    objectives for the Quantum Theory module and use the My Response link below to ask any questions you might\n                    have about the material that you would like the instructor to address. Your\n                    questions can be for clarification of the material or further insight. Your\n                    self-evaluation and questions may also shape the discussions in class.
Your responses will not be graded, but will be available for your instructor.
Adapted from Openstax Chemistry under Creative Commons Attribution 4.0\n                License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Foundations of Chemistry,Measurements,Module Summary and Quiz,"Measurements provide quantitative information that is critical in studying and practicing chemistry. \n               Each measurement has an amount, a unit for comparison, and an uncertainty. Measurements can be \n               represented in either decimal or scientific notation. Scientists primarily use the SI (International System) \n               or metric systems. We use base SI units such as meters, seconds, and kilograms, as well as derived units, \n               such as liters (for volume) and g/cm3 (for density). In many cases, we find it convenient to use unit prefixes \n               that yield fractional and multiple units, such as microseconds (10-6 seconds) and megahertz (106 hertz), \n               respectively.
Quantities can be exact or measured. Measured quantities have an associated uncertainty that is represented by the number \n               of significant figures in the measurement. The uncertainty of a calculated value depends on the uncertainties in \n               the values used in the calculation and is reflected in how the value is rounded. Measured values can be accurate \n               (close to the true value) and/or precise (showing little variation when measured repeatedly).
Measurements are made using a variety of units. It is often useful or necessary to convert a measured \n               quantity from one unit into another. These conversions are accomplished using unit conversion factors, \n               which are derived by simple applications of a mathematical approach called the factor-label method or \n               dimensional analysis. This strategy is also employed to calculate sought quantities using measured \n               quantities and appropriate mathematical relations.
Before you take the quiz, please evaluate your understanding of the\n                    learning objectives for the Measurements module and use the\n                    My Response link below to ask any questions you might have about\n                    the material that you would like the instructor to address. Your questions can\n                    be for clarification of the material or further insight. Your self-evaluation\n                    and questions may also shape the discussions in class.
Your responses will not be graded, but will be available for your instructor.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Foundations of Chemistry,Elements and Compounds,Nomenclature for Acids,"Some compounds containing hydrogen are members of an important class of substances known\n            as acidssubstances that produces H3O+ when dissolved in water. The chemistry of these compounds is explored in more detail later in this\n            course, but for now, it will suffice to note that many acids release hydrogen ions,\n                H+, when dissolved in water. To denote this distinct chemical property, a\n            mixture of water with an acid is given a name derived from the compounds name.
substances that produces H3O+ when dissolved in water
If the compound is a binary acidcompound containing two different elements (comprised of hydrogen and one other nonmetallic\n                    element) use the steps below to name the acid.
compound containing two different elements
For example, when the gas HCl (hydrogen chloride) is dissolved in water, the\n                    solution is called hydrochloric acid. Several other examples of this\n                    nomenclature are shown in table below.
Many compounds containing three or more elements (such as organic compounds or\n                    coordination compounds) are subject to specialized nomenclature rules that you\n                    will learn later. However, we will briefly discuss the important compounds known\n                    as oxyacidscompound that contains hydrogen, oxygen, and one other element, bonded in a way that imparts acidic properties to the compound (ability to release H+ ions when dissolved in water), compounds that contain hydrogen, oxygen, and at least one other\n                    element, and are bonded in such a way as to impart acidic properties to the\n                    compound (you will learn the details of this later in this course). Typical\n                    oxyacids consist of hydrogen combined with a polyatomic, oxygen-containing ion.\n                    To name oxyacids follow the steps below.
compound that contains hydrogen, oxygen, and one other element, bonded in a way that imparts acidic properties to the compound (ability to release H+ ions when dissolved in water)
For example, consider H2CO3 (which you might be tempted to\n                    call chydrogen carbonated). To name this correctly, chydrogend is omitted; the\n                    ate of carbonate is replace with ic; and acid is addedso its name is carbonic\n                    acid. Other examples are given in Table. There are some exceptions to the\n                    general naming method (e.g., H2SO4 is called sulfuric\n                    acid, not sulfic acid, and H2SO3 is sulfurous, not\n                    sulfous, acid).
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Foundations of Chemistry,Elements and Compounds,Nomenclature Mixed Practice,"Throughout this course you will encounter many chemical formulas. You will need to be\n            able to identify whether formulas are molecular, ionic, or acids and then be able to\n            name them accordingly. Likewise, when you encounter the name of a compound you need to\n            be able to recognize whether it is ionic, molecular, or an acid and write the chemical\n            formula accordingly. The activities on this page will give you practice on identifying\n            the types of compounds and naming and writing formulas accordingly.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Foundations of Chemistry,Elements and Compounds,Extra Practice: Elements and Compounds,,
Foundations of Chemistry,Elements and Compounds,Module Summary and Quiz,"Isotopes of an element are atoms with the same atomic number but different mass\n                    numbers; isotopes of an element, therefore, differ from each other only in the\n                    number of neutrons within the nucleus. When a naturally occurring element is\n                    composed of several isotopes, the atomic mass of the element represents the\n                    average of the masses of the isotopes involved. A chemical symbol identifies the\n                    atoms in a substance using symbols, which are one-, or two-letter \n                    abbreviations for the atoms.
A molecular formula uses chemical symbols and subscripts to indicate the exact\n                    numbers of different atoms in a molecule or compound. An empirical formula gives\n                    the simplest, whole-number ratio of atoms in a compound. A structural formula\n                    indicates the bonding arrangement of the atoms in the molecule. Ball-and-stick\n                    and space-filling models show the geometric arrangement of atoms in a molecule.\n                    Isomers are compounds with the same molecular formula but different arrangements\n                    of atoms.
The discovery of the periodic recurrence of similar properties among the elements\n                    led to the formulation of the periodic table, in which the elements are arranged\n                    in order of increasing atomic number in rows known as periods and columns known\n                    as groups. Elements in the same group of the periodic table have similar\n                    chemical properties. Elements can be classified as metals, metalloids, and\n                    nonmetals, or as a main-group elements, transition metals, and inner transition\n                    metals. Groups are numbered 1 from left to right. The elements in group 1 are\n                    known as the alkali metals; those in group 2 are the alkaline earth metals;\n                    those in 15 are the pnictogens; those in 16 are the chalcogens; those in 17 are\n                    the halogens; and those in 18 are the noble gases.
Metals (particularly those in groups 1 and 2) tend to lose the number of\n                    electrons that would leave them with the same number of electrons as in the\n                    preceding noble gas in the periodic table. By this means, a positively charged\n                    ion is formed. Similarly, nonmetals (especially those in groups 16 and 17, and,\n                    to a lesser extent, those in Group 15) can gain the number of electrons needed\n                    to provide atoms with the same number of electrons as in the next noble gas in\n                    the periodic table. Thus, nonmetals tend to form negative ions. Positively\n                    charged ions are called cations, and negatively charged ions are called anions.\n                    Ions can be either monatomic (containing only one atom) or polyatomic\n                    (containing more than one atom).
Compounds that contain ions are called ionic compounds. Ionic compounds generally\n                    form from metals and nonmetals. Compounds that do not contain ions, but instead\n                    consist of atoms bonded tightly together in molecules (uncharged groups of atoms\n                    that behave as a single unit), are called covalent or molecular compounds. Covalent compounds\n                    usually form from two nonmetals.
Chemists use nomenclature rules to clearly name compounds. Ionic and molecular\n                    compounds are named using somewhat-different methods. Binary ionic compounds\n                    typically consist of a metal and a nonmetal. The name of the metal is written\n                    first, followed by the name of the nonmetal with its ending changed to ide. For\n                    example, K2O is called potassium oxide. If the metal can form ions\n                    with different charges, a Roman numeral in parentheses follows the name of the\n                    metal to specify its charge. Thus, FeCl2 is iron(II) chloride and\n                        FeCl3 is iron(III) chloride. Some compounds contain polyatomic\n                    ions; the names of common polyatomic ions should be memorized. Molecular\n                    compounds can form compounds with different ratios of their elements, so\n                    prefixes are used to specify the numbers of atoms of each element in a molecule\n                    of the compound. Examples include SF6, sulfur hexafluoride, and\n                        N2O4, dinitrogen tetroxide. Acids are an important\n                    class of compounds containing hydrogen and having special nomenclature rules.\n                    Binary acids are named using the prefix hydro-, changing the ide suffix to ic,\n                    and adding cacid;d HCl is hydrochloric acid. Oxyacids are named by changing the\n                    ending of the anion to ic, and adding cacid;d H2CO3 is\n                    carbonic acid.
Before you take the quiz, please evaluate your understanding of the\n                    learning objectives for the Elements and Compounds module and use the\n                    My Response link below to ask any questions you might have about\n                    the material that you would like the instructor to address. Your questions can\n                    be for clarification of the material or further insight. Your self-evaluation\n                    and questions may also shape the discussions in class.
Your responses will not be graded, but will be available for your instructor.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Solids and Liquids,Phase Changes,Energy and Phase Changes,"Vaporization is an endothermic process. The cooling effect can be evident when\n                    you leave a swimming pool or a shower. When the water on your skin evaporates,\n                    it removes heat from your skin and causes you to feel cold. The energy change\n                    associated with the vaporization process is the enthalpy of vaporization, \xceHvap. For example, the vaporization of water\n                    at standard temperature is represented by:
As described in the unit on thermochemistry, the reverse of an endothermic\n                    process is exothermic. And so, the condensation of a gas releases heat:
The amount of heat required to change one mole of a substance from the solid\n                    state to the liquid state is the enthalpy of fusion, \xceHfus of the substance. The enthalpy of fusion of ice is 6.0\n                    kJ/mol at 0 C. Fusion (melting) is an endothermic process:
The reciprocal process, freezing, is an exothermic process whose enthalpy change\n                    is .0 kJ/mol at 0 C:
One way our body is cooled is by evaporation of the water in sweat. In very hot\n                climates, we can lose as much as 1.5 L of sweat per day. Although sweat is not pure\n                water, we can get an approximate value of the amount of heat removed by evaporation\n                by assuming that it is. How much heat is required to evaporate 1.5 L of water (1.5\n                kg) at T = 37 C (normal body temperature); \xceHvap\n                = 43.46 kJ/mol at 37 C.
We start with the known volume of sweat (approximated as just water) and use the\n                given information to convert to the amount of heat needed:
Thus, 3600 kJ of heat are removed by the evaporation of 1.5 L of water.
Like vaporization, the process of sublimation requires an input of energy to\n                    overcome intermolecular attractions. The enthalpy of sublimation, \xceHsub, is the energy required to convert one\n                    mole of a substance from the solid to the gaseous state. For example, the\n                    sublimation of carbon dioxide is represented by:
Consider the extent to which intermolecular attractions must be overcome to\n                    achieve a given phase transition. Converting a solid into a liquid requires that\n                    these attractions be only partially overcome; transition to the gaseous state\n                    requires that they be completely overcome. As a result, the enthalpy of fusion\n                    for a substance is less than its enthalpy of vaporization. This same logic can\n                    be used to derive an approximate relation between the enthalpies of all phase\n                    changes for a given substance. Though not an entirely accurate description,\n                    sublimation may be conveniently modeled as a sequential two-step process of\n                    melting followed by vaporization in order to apply Hesss Law. Viewed in this\n                    manner, the enthalpy of sublimation for a substance may be estimated as the sum\n                    of its enthalpies of fusion and vaporization. For example:
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",
Reactions and Stoichiometry,Reaction Stoichiometry,Chemical Reactions: Moles and Particles,"A balanced chemical equation provides a great deal of information in a very succinct\n            format. Chemical formulas provide the identities of the reactants and products involved\n            in the chemical change, allowing classification of the reaction. Coefficients provide\n            the relative numbers of these chemical species, allowing a quantitative assessment of\n            the relationships between the amounts of substances consumed and produced by the\n            reaction. These quantitative relationships are known as the reactions \n                stoichiometry\n                \n                    \n                        relationships between the amounts of reactants and products of a chemical\n                            reaction\n                    \n                \n            , a term derived from the Greek words stoicheion (meaning celementd) and metron\n            (meaning cmeasured). In this module, the use of balanced chemical equations for various\n            stoichiometric applications is explored.
relationships between the amounts of reactants and products of a chemical\n                            reaction
The general approach to using stoichiometric relationships is similar in concept to the\n            way people go about many common activities. Food preparation, for example, offers an\n            appropriate comparison. A recipe for making eight pancakes calls for 1 cup pancake mix,\n            3/4 cup milk, and one egg. The cequationd representing the preparation of pancakes per\n            this recipe is
If two dozen pancakes are needed for a big family breakfast, the ingredient amounts must\n            be increased proportionally according to the amounts given in the recipe. For example,\n            the number of eggs required to make 24 pancakes is
Balanced chemical equations are used in much the same fashion to determine the amount of\n            one reactant required to react with a given amount of another reactant, or to yield a\n            given amount of product, and so forth. The coefficients in the balanced equation are\n            used to derive \n                stoichiometric factors\n                \n                    \n                        ratio of coefficients in a balanced chemical equation, used in\n                            computations relating amounts of reactants and products\n                    \n                \n             that permit computation of the desired quantity. To illustrate this idea,\n            consider the production of ammonia by reaction of hydrogen and nitrogen:
ratio of coefficients in a balanced chemical equation, used in\n                            computations relating amounts of reactants and products
This equation shows ammonia molecules are produced from hydrogen molecules in a 2:3\n            ratio, and stoichiometric factors may be derived using any amount (number) unit:
These stoichiometric factors can be used to compute the number of ammonia molecules\n            produced from a given number of hydrogen molecules, or the number of hydrogen molecules\n            required to produce a given number of ammonia molecules. Similar factors may be derived\n            for any pair of substances in any chemical equation.
How many moles of I2 are required to react with 0.429 mol of Al according\n                to the following equation?
Referring to the balanced chemical equation, the stoichiometric factor relating the\n                two substances of interest is 3 mol I2 mol/ 2 mol Al. The molar amount of\n                iodine is derived by multiplying the provided molar amount of aluminum by this\n                factor:
We can also use the stoichiometric relationships in a balanced equation to determine the\n            number of particles (atoms, molecules, or formula units) involved in a chemical\n            reaction.
How many carbon dioxide molecules are produced when 0.75 mol of propane is combusted\n                according to this equation?
The approach here is the same as in the previous example, though the absolute number\n                of molecules is requested, not the number of moles of molecules. This will simply\n                require use of the moles-to-numbers conversion factor, Avogadros number.
The balanced equation shows that carbon dioxide is produced from propane in a 3:1\n                ratio:
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of\n                    Elements
Solids and Liquids,Intermolecular Forces,Attractive Forces,"As was the case for gaseous substances , the kinetic molecular\n            theory may be used to explain the behavior of solids and liquids. In the following\n            description, the term particle will be used to refer to an atom, molecule, or ion.
Consider these two aspects of the molecular-level environments in solid, liquid, and\n            gaseous matter:
From everyday experience we know that substances exist in different states of matter\n            under various conditions. For example, water is a liquid at room temperature, a solid at\n            tempertures below 0 oC and a gas at temperatures above 100 oC.\n            Table salt (NaCl) is a solid a room temperature with a very high melting point and\n            boiling point of 800 oC and 1413 oC, respectively. While nitrogen\n                (N2), which is the main component in the air all around us, is a gas at\n            room temperature with a melting point of -210 oC and a boiling point of -196\n                oC.
The difference in the conditions at which a substace is a solid, liquid, or gas reflect\n            the strengths of the attractive forces between the atoms, molecules, or ions that make\n            up the substance. These attractive forces are either ionic bonds, in the case of ionic\n            compounds, or intermolecular forces (IMFs), in the case of molecular compounds. IMFs are\n            the various forces of attraction that may exist between the atoms and molecules of a\n            molecular substance due to electrostatic phenomena, as will be detailed in this module.\n            The phase in which a substance exists depends on the relative extents of its attractive\n            forces and the kinetic energies (KE) of its particles. The attractive forces serve to\n            hold particles close together, whereas the particles KE provides the energy required to\n            overcome these forces and thus increase the distance between particles.
Consider a sample of water. When gaseous water is cooled sufficiently, the kinetic energy\n            of its molecules decreases and the attractions between the molecules will be capable of\n            holding them together when they come into contact with each other; the gas condenses,\n            forming liquid H2O. When the liquid water is cooled even more, the kinetic\n            energy of its molecules decreases further and the attraction between the molecules will\n            be capable of holding them together in a rigid structure to form solid H2O or\n            ice.
Different substances have widely varying strengths of attractive forces between their\n            particles because of their composition. These attractive forces have a direct impact on\n            boiling points and melting points. In this module, we will explore these attractive\n            forces and their effects. Note that throughout this module we will focus primarily on\n            differences in boiling points, but, by and large, the concepts discussed can also be\n            applied to melting points.
Adapted from Openstax Chemistry under  Creative Commons Attribution\n                4.0 License.
Download for free at http://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6@9.312.",Reference: The Periodic Table of Elements
