,source,target,edge
115,self evaluation,also  class,shape
116,responses,instructor,graded
117,,Creative Commons Attribution,Adapted from
118,,,Download for free
119,quantitative  that,chemistry,provide quantitative
120,measurement,comparison,has
121,Measurements,decimal  notation,represented in
122,Scientists,primarily  SI,use
123,We,g base SI density,use
124,unit that,such  microseconds,find
125,Quantities,,be exact
126,associated  that,significant  measurement,have
127,how  value,calculated  calculation,depends on
128,Measured  values,little  variation,be accurate
129,Measurements,units,made
130,It,one  another,is
131,unit conversion which,mathematical  approach,accomplished
132,strategy,measured  quantities,employed
133,instructor,that,evaluate
134,questions,material,be for
135,self evaluation,also  class,shape
136,responses,instructor,graded
137,,4.0 Creative Commons License,Adapted from
138,,,Download for free
139,important  that,when  water,are
140,many  acids,when hydrogen water,explored in more
141,distinct chemical mixture,compounds name,given
142,when  compound,below  acid,use
143,hydrogen solution,hydrogen water,called hydrochloric
144,other  examples,table,shown in
145,specialized nomenclature you,specialized nomenclature that,are subject
146,acidic  you,later  course,learn
147,Typical  oxyacids,containing  ion,consist of
148,,steps,follow
149,you,chydrogen,consider
150,name,ic,is
151,Other  examples,Table,given in
152,sulfic  H2SO3,general naming method,called sulfuric
153,,4.0 Creative Commons License,Adapted from
154,,,Download for free
155,you,many chemical formulas,encounter many
156,formulas,then  them,need
157,it,chemical formula,encounter
158,activities,formulas,give
159,,4.0 Creative Commons License,Adapted from
160,,,Download for free
161,different mass isotopes,only  nucleus,differ from
162,atomic  mass,isotopes,represents
163,which,two letter atoms,identifies
164,molecular  formula,different chemical molecule,uses chemical
165,empirical  formula,whole number compound,gives
166,structural  formula,bonding molecule,indicates
167,space  models,geometric  molecule,show
168,Isomers,different  atoms,are
169,periodic  elements,atomic  groups,led to
170,Elements,similar chemical properties,have similar
171,Elements,main group elements,classified as
172,Groups,1  right,numbered
173,those,18,are
174,1  that,periodic  table,tend
175,charged  ion,means,formed
176,Similarly  nonmetals,periodic  table,gain
177,Thus  nonmetals,negative  ions,tend
178,charged  ions,,called
179,Ions,one  atom,be
180,that,ions,called ionic
181,Ionic  compounds,generally  metals,form from
182,uncharged  that,single  unit,called covalent
183,Covalent compounds,two  nonmetals,form from
184,Chemists,clearly nomenclature compounds,use
185,Ionic  compounds,different  methods,named
186,ionic  compounds,typically  metal,consist of
187,name,first  ending,written
188,K2O,example,called
189,Roman  numeral,charge,follows
190,iron(II  FeCl3,,is iron(II
191,polyatomic  names,polyatomic  ions,memorized
192,so  prefixes,compound,used
193,Examples,SF6,include
194,Acids,special nomenclature rules,are
195,ide  adding,cacid;d HCl,named
196,H2CO3,cacid;d,is
197,instructor,that,evaluate
198,questions,material,be for
199,self evaluation,also  class,shape
200,responses,instructor,graded
201,,4.0 Creative Commons License,Adapted from
202,,,Download for free
203,Vaporization,,is
204,when  you,swimming pool,be evident
205,you,skin,removes
206,energy change,vaporization vaporization,is
207,standard  reverse,endothermic  process,is exothermic
208,so gas releases amount,liquid  substance,is
209,way  body,sweat,is by
210,hot  we,1.5  day,lose
211,approximate  it,approximate  evaporation,get
212,3600  kJ,1.5  water,removed by
213,process,intermolecular  attractions,requires
214,enthalpy,gaseous  state,is
215,intermolecular carbon attractions,given phase transition,Consider
216,gaseous  they,gaseous  state,requires
217,enthalpy,vaporization,is less
218,same  logic,given phase substance,used
219,accurate  sublimation,two Hesss Law,modeled as
220,enthalpy,fusion,estimated as
221,,4.0 Creative Commons License,Adapted from
222,,,Download for free
223,balanced chemical equation,succinct  format,provides
224,Chemical formulas,chemical reaction,provide
225,Coefficients,quantitative chemical reaction,provide
226,quantitative  relationships,Greek words stoicheion,known as
227,use,stoichiometric chemical applications,explored
228,stoichiometric  people,common  activities,is similar
229,Food preparation,appropriate  comparison,offers
230,eight  pancakes,1 cup pancake mix,recipe for
231,big ingredient amounts,proportionally  recipe,is
232,Balanced chemical equations,given  product,is Balanced
233,balanced chemical that,desired  quantity,used
234,given hydrogen number,ammonia hydrogen molecules,used
235,Similar  factors,chemical equation,derived
236,many  moles,following  equation,required
237,stoichiometric chemical factor,two  interest,is
238,molar  We,balanced chemical reaction,use
239,0.75  mol,equation,produced
240,absolute  number,molecules,is
241,This,moles conversion factor,require
242,carbon dioxide,4.0 Creative Commons License,shows
243,,,Download for free
244,molecular  theory,solids,used
245,following term particle,atom,used
246,substances,various  conditions,know
247,water,0 room 100,is
248,Table salt,800 boiling oC,is
249,which,boiling -196 oC.,is
250,attractive  that,substance,difference in
251,attractive  forces,molecular  compounds,are
252,various  that,electrostatic  module,are
253,substance,kinetic  particles,depends on
254,together  particles,thus  particles,serve
255,,water,Consider
256,when  they,other,decreases
257,further  attraction,solid  H2O,decreases
258,Different  substances,attractive  composition,varying
259,attractive  forces,direct boiling points,have
260,we,attractive  forces,explore
261,primarily boiling concepts,also melting points,applied to
262,,4.0 Creative Commons License,Adapted from
263,,,Download for free
264,Chemists,chemical  processes,use
265,three state enthalpy,three state functions,is
266,only enthalpy changes,chemical  processes,determined
267,mathematical  P\xceV,work,is
268,this,constant  pressure,get
269,then enthalpy change,process,flow
270,,constant  pressure,for
271,it,constant  atmosphere,is equal
272,constant volume metal container,expansion work,is
273,where q = which,convenient  heat,perform
274,2.9  kJ,heat,shows
275,,following acid reacting,is \xceH
276,,0.0500 mol HCl acid,For
277,1 enthalpy mole,HCl reacts,change
278,you,when chemical reaction,illustrates
279,gummy  bear,2.67  sucrose,contains
280,43.7 g potassium kJ,heat,produced
281,,enthalpy reaction,Determine
282,excess  KClO3,KClO3,is
283,43.7  kJ,7.19  reacts,say
284,g sucrose all,experiment,Note
285,Previously  we,individual  atoms,is
286,chemical formulas,thatappropriately  species,gain
287,Extending,chemical  reaction,involves
288,,diatomic onecarbon dioxide molecule,Consider as
289,process,lower  figure,provided in
290,chemical  formulas,left  equation,called
291,chemical  formulas,right  equation,called
292,substances,left product equation,f)separates
293,relative  amount(numbers,immediately  formula,represented by
294,,1is,coefficient of
295,relative  It,achemical number example,toindicate
296,therefore  they,becorrectly  ratios,Realize
297,Methane,1:2:1:2 ratio,react
298,numbers,molecules,is satisfied
299,One methane molecule,two water molecules,interpreted with
300,One dozen methane molecules,one dozencarbon dioxide molecules,react
301,One  mole,2 water molecules,react
302,,Commons Attribution.0 License,Adapted from
303,,,Download for free
304,Previously  we,elements,discussed
305,Elements,chemical symbol,represented by
306,we,element,is
307,Hg,mercury,is
308,We,element  mercury,use
309,symbols,periodic  elements,listed on
310,periodic  elements,order atomic order number,Notice
311,We,later  course,discuss
312,several  that,radioactive  ores,identified several
313,cnew elementd,initially name mesothorium,given
314,mesothorium,atomic decay mass,showed
315,different  that,different  masses,led
316,same  that,mass,called
317,Soddy,Nobel discovery,awarded
318,cause,different  neutrons,determined
319,same  that,different  neutrons,Atoms of
320,symbol,element  symbol,written by
321,it,elements identity,written as
322,magnesium,mass  24,exists as
323,isotopes,24Mg,identified as
324,isotope symbols,celement mass reading,read as celement
325,magnesium atoms,12  nucleus,read as
326,13  26Mg,14  neutrons,differ
327,,4.0 Creative Commons License,Adapted from
328,,,Download for free
329,earlier  unit,two  substances,solutions
330,greater  it,greater  concentration,is present
331,lesser  concentrations,solution,called
332,Sugar,sucrose covalent molecules,is
333,aqueous  water,aqueous  solution,is
334,them,time,cause
335,Potassium dichromate,colorless potassium ions,is
336,below potassium mixture,below potassium sugar,is
337,solutes,water  molecules,remain
338,often word solution,many  people,used
339,any  gas,solvent,act as
340,five cent coins,copper,contain
341,Air,homogeneous  nitrogen,is
342,Oxygen,liquid  solutions,dissolve in
343,table,different  solutes,gives
344,,4.0 Creative Commons License,Adapted from
345,,,Download for free
346,recorded  discussion,Greek  day,comes from ancient
347,which,shape,thought of
348,Later  Aristotle,four  celementsdfire,came to
349,Interestingly  philosophers,apparently  ideas,thought about
350,behavior,atomic  theory,view of
351,hypotheses,atomic  theory,are
352,Here  postulates,atomic  theory,are
353,macroscopic  you,macroscopic  that,provides
354,then  it,fewer  atoms,broken
355,matter  changes,one  matter,remain constant
356,,4.0 Creative Commons License,Adapted from
357,,,Download for free
358,perpendicularly  wave,animatation,transmitted by
359,electromagnetic  spectrum,continuous  energies,contains
360,you,likely  including,are different
361,Much,electromagnetic  radiation,based on electromagnetic
362,all,wavelike  behavior,are
363,important  they,atoms,play important
364,how  theories,electronic  atom,explore
365,,4.0 Creative Commons License,Adapted from
366,,,Download for free
367,far  we,dimensional Lewis molecules,used
368,three  it,relative  space,is
369,two  that,usually  degrees,is
370,bond distance,straight bond nuclei,is
371,Bond distances,ngstroms,measured in
372,VSEPR us,lone Lewis structure,enables
373,central valence that,electron them,assumes
374,,bonded atom atoms,electrons in
375,various  regions,far electron other,reduced
376,VSEPR theory,correct electron molecule,predicts
377,however  theory,only electron pair repulsions,understand
378,final electron atoms,molecular  structure,involved in
379,simple VSEPR us,gaseous BeF2 molecule,let
380,Lewis structure,central beryllium atom,shows
381,when electron they,central  atom,are
382,bond angle,,is
383,dimensional  molecules,VSEPR theory,explore
384,electron pair shapes,central  atom,look at
385,,tables,Fill in
386,different electron geometry you,3  dimensions,note
387,,Shapes  link,Return to
388,you,Molecules starting screen,choose
389,you,bottom  image,toggle to
390,When  you,section check Bond Angles,are in
391,Real radio button,top  screen,Be sure
392,below  you,down  simulation,is
393,,appropriate  table,Chose
394,electron pair geometry,molecular  structure,is important
395,where  electrons,central  atom,describe
396,Molecular  structure,central  atom,describes
397,two  that,electron pair geometry,differentiate between
398,that,only  molecule,called
399,central electron they,central  atom,be
400,molecular  structure,central carbon atom,is tetrahedral
401,other ammonia molecule,tetrahedral electron pair geometry,has
402,lone  pair,molecule,is
403,you,Molecules Shapes simulation,click
404,,Name Molecule Geometry,check
405,,Options Show Lone Pairs,check
406,Each,pull  list,is
407,,table,Choose
408,When  you,Lone Pairs molecule shape,uncheck
409,,4.0 Creative Commons License,Adapted from
410,,,Download for free
411,elements,similar chemical behavior,exhibit similar
412,members,same valence shells,occurs
413,,periodic  table,are
414,we,character atoms increases,move
415,solid  that,electricity,is
416,we,successive valence element,add
417,number,quantum number one,remains constant
418,that,chemical behavior,allows
419,properties,electronic elements changes,vary
420,we,1  atoms,are
421,,Creative Commons Attribution,Adapted from
422,,,Download for free
423,Earlier  we,elemental makeup ofsubstances,described
424,ideas,atomic formula substancesformula,extended
425,therefore formula mass,molecular  mass,referred to
426,,stickd covalent polymer,Consider
427,single  molecule,onecarbon atom,indicates
428,average  molecularmass,averageatomic chloroform atoms,is
429,molecular  which,molecular  chloroform,outlines
430,four oxygen which,180.15  amu,is
431,amu 8 Ibuprofen,such Adviland Motrin,is
432,mass  amu,compound,is
433,Molecules,13 carbon atoms,comprised of
434,Ionic  compounds,bulk  matter,composed of discrete
435,so  it,common chemical tablesalt,consider
436,Sodium chloride,ionic chloride 1:1ratio,is
437,formula mass,58.44  amu,computed as
438,that,various waterpurification processes,is
439,formula mass,compound,is
440,it,2:3  ratio,indicates
441,formula it,thesimpler format,is helpful
442,above formula mass,4.0 Creative License,asfollows
443,,,Download for free
444,earths,pressure,atmosphere
445,when take you,underwater,are sensitiveto
446,Gas pressure,objects,caused by
447,short  which,high  pressure,experiences
448,normal air pressure,equal metal container,isstrong
449,Atmospheric  pressure,such tanker car,caused by
450,typical bowling ball,thumbnail,is
451,usual  sensation,actually bowling thumbnail,is twicethe
452,general  pressure,given  area,defined as
453,pressure,directly  area,Note
454,pressure canbe,area,decreased by
455,where  N,1 kg s2,is
456,many  it,more  kilopascal,is
457,United pressure,square pounds tires,measured in
458,Pressure,average level air Paris,represented
459,,used courseare kPa,units in
460,ina we,ina which,refers to
461,atmospheric  height,barometer,is
462,that,interchangeably  barometer,is
463,US Weather Service,mercury,reports
464,pressure,29.5,reported on
465,pressure,atm,is
466,Here  we,stepdimensional  conversion,use
467,typical barometric pressure,KansasCity,is
468,pressure,kilopascals,is
469,torr,,Remember
470,energykinetic  energy,random  atoms,is kinetic
471,object,lower  KE,have
472,thermal phase temperature,thermal phase matter,cause
473,thermal phase temperature,thermal phase matter,cause
474,intensive  that,different ccoldnessd temperatures,is
475,redundant  one,thermal  other,increases
476,we,high  temperature,Suppose
477,temperature,average substance molecules,decrease
478,two  substances,same  temperature,continue
479,Matter  undergoing,physical chemical heat,release
480,heat,,called
481,physical  that,also torchs flame,is
482,physical  that,heat,is
483,muscle strains,endothermic  process,provides
484,resulting ammonium process,cold,absorbs
485,that,one  element,focused on
486,containing,commonly  nature,combinedare
487,relative  composition,important  properties,plays
488,relative  amount,aerobic planets life,determines
489,relative  amounts,physical  corrosion,determine
490,relative  amount,pharmacological  effect,determines
491,relative  amount,sweetness,determines
492,relative  compositions,mixtures,describe
493,homogeneous  composition,entire  volume,defined
494,Solutions,made  technology,occur
495,Here  we,basic  solutions,introduce
496,relative  amount,given solution concentration,known as
497,relative  that,other  components,contains
498,other  components,other  which,called
499,water,very  planet,are
500,aqueous  water,aqueous  which,called
501,Water,different  substances,has
502,it,universal  solvent,referred to
503,less  that,lower  solvent,is
504,Solute concentrations,high  concentration,described with
505,,4.0 Creative Commons License,component present
506,,,Download for free
507,properties,pure  solute(s,are different
508,Many solution properties,chemical solute,are dependent
509,more sodium solution,sucrose,is
510,however solution that,regardless solute identities,depend
511,colligative  properties,point depression,include
512,small  set,technological  module,is of central
513,,4.0 Creative Commons License,Adapted from
514,,,Download for free
515,course,learning General Chemistry,designed
516,better  you,successfully  concepts,help
517,you,core content page,is
518,Learning Objectives,learning,appear at
519,you,page(s,intended
520,even learning you,content,is
521,I,objective,Ask
522,,many  course,are many
523,activities,fully learning process,designed
524,two  I,This,Learn By
525,types,unique  purpose,designed in different
526,Learn,learning,designed
527,more  I,ways,provide
528,One,obvious  guidance,is
529,many,hints,notice
530,you,how  you,ask for
531,problems,multiple  hints,Note
532,,activities scaffold practice,Learn By
533,you,hint,Ask for
534,Learn,step scaffold manner,is
535,before  I,activities,Get
536,Learn,step scaffold practice,present
537,activities,,Get
538,Problems,wise  manner,include
539,you,concept,is
540,it,previous  instructor,is
541,you,graded  assignment,get
542,Response activity links,module,are at
543,concepts,,allow
544,,effective  learning,know as
545,also  you,instructor,have
546,responses,classroom discussions,sent
547,,My Response instructor,Click on
548,,module,is
549,graded  score,instructor,is
550,instructor,overall  assignments,decide
551,,numeric input course,are many
552,you,standard  notation,use standard
553,very  you,scientific  notation,recommended for
554,6.022,6.022e23,enter
555,Much,Openstax Chemistry text,adapted from
556,such  you,course,see
557,,Adapted Creative Commons Attribution,Chemistry under
558,,,Download for free
559,,,Raysor
560,that,macroscopic  chemistry,provide
561,measurement that,measurement result,is
562,number,decimal  form,represented in
563,Units,such  measurements,are
564,times  everyone,times  volume,is
565,number,units,be meaningless
566,doctor,phenobarbital patients units,Suppose
567,single  dose,100,be confusing
568,We,metric SI table,report
569,Other  units,base units,derived
570,international  they,Systme International dUnits,fixed by international
571,SI units,National 1964,used by
572,that,base  unit,use
573,Ice cream,quarts,sold in
574,also SI fractions,always  10,use
575,SI  units,base unit,named
576,cone which,scientific  notation,called
577,10,table,used
578,metric  which,SI French Revolution,established in
579,original  standards,other  countries,adopted
580,section,commonly SI base chemistry,introduces
581,Other SI units,subsequent  units,introduced in subsequent
582,standard  unit,SI,is
583,meter,originally North equator,specified as
584,It,now vacuum second,defined as
585,one  meter,longer  yard,is
586,shorter  distances,centimeters,reported in
587,standard  unit,SI system,is
588,kilogram,specific reference object,defined by
589,recently  it,39 platinum iridium mm,was
590,that,physical  constants,changed to
591,One  kilogram,,is
592,gram,exactly  kilogram,is
593,Temperature,,is
594,SI unit,temperature,is
595,K unit word,K unit symbol,is
596,also SI word,Celsius measurements,allowed in
597,two  scales,different  places,are
598,human body temperature,100  definition,freezes at
599,conversion,later Fahrenheit module,discussed
600,SI base unit,time,is
601,hours s. years,appropriate  example,microseconds
602,,4.0 Creative Commons License,Adapted from
603,,,Download for free
604,that,two  atoms,is
605,Chemical bonding,valence electrons,is
606,,negatively compound ions,forces of
607,two  atoms,electrons,formed
608,why  atoms,compounds,have
609,answer,electron configurations,has
610,outer  shell,electrons,is
611,two  all,eight  electrons,are full
612,outer  shell,noble electron gas,is important
613,eight valence electrons,bonding bond,comes
614,Main group elements,noble electron gas,gain
615,Previously bonding we,ionic  bonding,discussed
616,we,ionic chemical bonding,look at
617,ions,electrical  charge,are
618,neutral valence atom,one valence shell,cation
619,ionic constituent ions,charged  cations,called ionic
620,properties,ionic  bonds,shed
621,ionic  bonds,melting  points,tend
622,Ionic  solids,solid reasonthe state,are
623,ionic  solids,readily  water,dissolve
624,excellent  ions,excellent  electricity,are excellent
625,electrostatic  forces,physical  properties,have
626,white form sodium that,explosively  water,metal
627,green chlorine that,very  animals,form
628,common table which,sodium cations,reaction
629,compound,different elements sodium,exhibits
630,vigorously sodium chloride,simply  water,is
631,which,anions,composed of
632,NaCl,example,is
633,We,periodic  elements,think about
634,metallic  elements,low ionization electrons,have
635,easily  atom,electrons,loses
636,reactive  metals,periodic  table,are in
637,Nonmetal  atoms,thereby valence shells,have
638,reactive  nonmetals,noble  gases,found in
639,noble  gases,high ionization energies,have
640,noble  gases,chemical  bonds,form chemical
641,total  number,negative  anions,equal
642,formula,positive  charges,represents
643,ionic aluminum compound,three oxide O2,=
644,however  formula,physical  ions,is important
645,It,sodium sodium ions,is incorrect
646,particular  ion,opposite  charge,are isotropicthe
647,,dimensional lattice structure,results in
648,Sodium chloride,Na+  cations,consists of
649,,4.0 Creative Commons License,Adapted from
650,,,Download for free
651,is gas they,experimental  observations,are
652,mathematical  forms,most  pressures,describe
653,why  gases,relationships,tell
654,microscopic  that,previous gas chapter,is
655,theory,five  postulates,based on
656,gases,atomic  example,used
657,test,gas,is
658,assumptions,accurately gas molecules,derived from
659,how Daltons KMT,them,look at
660,Then  we,molecular Grahams law,consider
661,KMT,conceptually  gas,see
662,that,gas laws,use
663,,4.0 Creative Commons License,Adapted from
664,,,Download for free
665,various  that,atoms,discussed
666,bonds,shell atoms,involve
667,element Lewis that,lone valence molecule,explore
668,lone valence We,valence electron atoms,use
669,one valence table,periodic Lewis table,shows
670,Lewis  symbols,ionic Lewis compounds,used
671,,4.0 Creative Commons License,Adapted from
672,,,Download for free
673,Matter  that,mass,Anything
674,it,all  us,defined as
675,they,mass,see
676,rather  than,when  gas,stay
677,that,mass,Anything
678,Solids,commonly  earth,are
679,solid  that,definite  shape,State of
680,,definite  shape,is rigid
681,that,indefinite  container,take
682,it,when  gravity,flows
683,zero  liquids,spherical  shape,assume
684,that,nearly  pressure,have
685,,indefinite gas shape,State of
686,It,container,take
687,,container,takes
688,that,definite  shape,State of
689,that,indefinite  container,take
690,,indefinite  shape,State of
691,It,container,take
692,samples,same  time,appear
693,when  sample,small  pieces,occur
694,it,solid  sand,pour
695,when  it,such  clouds,have
696,somewhat  they,tiny  water,appear
697,gaseous  that,charged  particles,plasma
698,,naturally  stars,occurs
699,plasmas,fixed  shape,are
700,charged  that,charged  particles,contain significant
701,charged  plasmas,electric  fields,are
702,plasmas,plasma metal,found in
703,gaseous  that,charged  particles,state of
704,,mass object,measure of
705,,it,is
706,objects it,object,is
707,more  car,more  mass,takes
708,common  way,standard  mass,is
709,,object,measure of
710,it,mass,is
711,,gravity object,force
712,,gravity object,refers to
713,force,directly  object,is
714,gravity mass,gravity changes,weight of
715,just  she,moon,change
716,bound moons gravity,one  earths,is
717,,gravity object,force
718,when  matter,one  another,is
719,scientific  It,gaseous  states,states
720,other  that,actual  matter,seen in
721,when  matter,one  another,is
722,seldom  that,particular  conversion,are few
723,all,original  food,preserved
724,various  it,measurement,challenging
725,,4.0 Creative Commons License,Adapted from
726,,,Download for free
727,When  liquid,kinetic  atoms,heated
728,liquid  particles,gas phase,is great
729,This,,called
730,it,liquid  phase,change into
731,This,condensation,known as
732,solid  we,average  atoms,increase
733,fixed  solid,liquid  state,becomes large
734,we,liquid,decreases
735,fixed  we,fixed  which,become greater
736,solids,liquid  sublimation,transition
737,standard room piece,ever  liquid,sublimes
738,solid  iodine,purple vapor image,sublimes
739,gaseous  substances,liquid  state,called
740,formation,deposition,is
741,,4.0 Creative Commons License,Adapted from
742,,,Download for free
743,eventually crystalline atoms,repeating  pattern,freeze
744,also  liquid,orderly  pattern,is
745,resulting  materials,,called amorphous
746,particles,internal  structure,lack
747,Metals,,solids
748,movements,amorphous  solids,form amorphous
749,candle waxes,large hydrocarbon molecules,are amorphous
750,amorphous silicon it,amorphous silicon which,form
751,amorphous  solids,appropriate crystalline conditions,undergo
752,,4.0 Creative Commons License,Adapted from
753,,,Download for free
754,study,fundamental chemical history,was
755,modern  d,quantitative  gases,changed
756,He,chemical combustion reactions,discovered
757,He,French 1794,was
758,moment  century,it,suffice
759,cHow We,solutions,turn to
760,However  we,way  gases,answer
761,We,ideal gas gas,use
762,Here  we,other gas density,combine
763,We,different  gases,deal
764,new  we,new  concepts,introduce
765,volume,given  pressure,seen
766,Chemists,STP  gases,make
767,about  Lthis,22.4 molar gases,referred to
768,when  gas,STP,has
769,We,ideal gas law,calculate
770,volume,1.00  atm,is
771,22.4 \\cancel{\\mathrm{K^{-1}}})(273.15 answer,regardless  problem,Recognize
772,when conversion gases,STP,has
773,4.9 g sample,standard  temperature,is at standard
774,sample,volume,occupy
775,here  amount,grams,Notice
776,We,then  STP,need
777,molar CH_4}}{1 volume,complex stoichiometry reactions,applied to
778,stoichiometry we,stoichiometry that,add
779,Most  metals,hydrogen gas,react with
780,,hydrochloric Zinc reactions,reacts with
781,5.8  g,hydrochloric  acid,reacted with
782,hydrogen gas,STP,collected at
783,volume,hydrogen gas,is
784,H}_2,Creative Commons Attribution,Adapted from
785,,,Download for free
786,Chemical changes,everyday  world,are important
787,metabolic that,bodies,undergo
788,We,natural  electricity,burn
789,Industrial chemical reactions,such  iron,use enormous
790,Energy,such  cars,used
791,we,originally  sun,comes
792,day  sun,necessary worlds energy day,provides
793,chemical that,reactions,is
794,Plants,solar  photosynthesis,capture solar
795,when  we,such plant ethanol,release
796,directly  that,plants,use
797,solar  fuels,plant animal matter,fossilized
798,unit,chemical changesan area,introduce
799,concepts,scientific  fields,used in
800,Food scientists,energy foods,use
801,Biologists,such carbon dioxide,study
802,many  others,commercial  needs,endeavor
803,Engineers,other energy applications,strive
804,about  who,science,is essential
805,scientific  theory,experimental  data,is
806,it,experimental  behavior,explain
807,molecular  that,different  molecules,gained
808,However VSEPR theory,chemical bonding,provide
809,successful  that,electronic  atoms,are successful
810,where quantum electrons,spherical p orbital,use
811,However  predictions,free  atoms,describe
812,where  electrons,molecule,are
813,electron that,electronic  molecules,requires
814,when covalent bond pair,simultaneously  atoms,holds
815,such  bonds,valence bond theory,discuss
816,single atomic that,bonded  atoms,describes
817,when  portion,same  space,say
818,orbital,orbital electron pair,overlaps
819,two  we,covalent  bond,charged
820,strength,covalent orbitals,depends on
821,that,less  overlap,form
822,how  orbitals,how  much,depends on
823,curve hydrogen they,other,illustrates
824,energy which,separated bond atoms,is
825,when  bond,energy,is
826,same  amount,bond,required
827,74 bond system,separated hydrogen atoms,is
828,This,small  number,seem like
829,bond  energies,per  basis,know from
830,one HH it,1 HH bonds,requires
831,comparison,bond table,shown in
832,table,average  values,find many
833,first CH methane,kJ paint mol,requires
834,,4.0 Creative Commons License,Adapted from
835,,,Download for free
836,experimental hydrogen it,many  questions,explained
837,Why  electrons,single quantum =,orbit at onlyfixed
838,,correctly emission spectrum forhelium,work
839,tocompletely  they,matter,needed
840,macroscopic  that,classical  physics,know
841,astraight it,such table friction,continue in
842,other p ball,classical  trajectory,moving in
843,This,classical  object,is thetypical
844,interference that,such billiard ball,show
845,interacting,patterssimilar  image,produce
846,particles,macroscopic  realm,is
847,different  we,largeobjects,became
848,unquestionable  separation,microscopic  world,was
849,One,special themicroscopic world,was
850,submicroscopic  particles,wavelike  character,asked
851,This,also wavelength which,predicted
852,electromagnetic  equation,s,[
853,integer standing number,exactly  orbit,explained
