,Unit,Module,Title,Text,Subheaders,questions,perplexity
56,Solids and Liquids,Intermolecular Forces,Attractive Forces of Ionic Compounds,"Ionic substances are those in which the constituent atoms are joined with ionic                    bonds. Ionic bonds differ from covalent bonds in that ionic bonds involve one or                    more electrons being transferred from one atom to another rather than being                    shared between the two atoms. This type of bonding is observed between pairs of                    atoms that have a large electronegativity difference, like the alkali metals in                    the first column of the periodic table and the halogens, in group 17. The low                    electronegativity atom gives one or more electrons to the high electronegativity                    atom. This results in a positively charged cation and a negatively charged                    anion. In the image below we can see that atoms electronegativity increases                    from a minimum at the bottom left of the periodic table to a maximum at the top                    right (excluding the noble gases).
Because of the large differences in electronegativity, the force of attraction                    that holds an ionic compound together, the ionic bond, is very strong. The                    strength of attraction between the charged ions that make up an ionic compound                    are governed by Coulombs law.
in which F is the attractive force between two                            charged particles, k is a constant that depends                            on the type of crystal structure; q1                            and q2 are the charges on the ions;                            and r2 is the interionic distance                            (the sum of the radii of the positive and negative ions).
Note that the equation we looked at earlier to determine relative lattice                            energies is a variation of this same formula.
Lattice energy is directly related to the strength of attractive forces.                    Substances with larger lattice energy have stronger attractive forces.                    Therefore, in comparing the differences in boiling points of ionic substances,                    those with higher lattice energy will have higher boiling points.
Inter-ion force increases as ions get smaller because the negatively-charged                    electrons of one ion are closer to the positively-charged nucleus of the other                    ion. As radii of ions decrease the attractive forces increase and therefore                    boiling points increase. We can see this in the table below, which compares the                    boiling points of RbI, RbBr, and RbCl.
Coulomb\'s law, which measures the strength of attractive forces between charged                    particles also incorporates the magnitude of charge of each of the charged                    particles. As the magnitude of charges of the ions within an ionic compounds                    increase, the lattice energy increases and likewise the attractive force between                    the ions and the boiling point of the compound will increase. For example, NaF                    and CaO have distances between their nuclei of 1.18  and 1.20  , respectively.                    With a very small difference in the sizes, we might expect their boiling points                    to be likewise close in value. However, the boiling point of CaO is                    significantly larger at 2850 oC compared to that of NaF at 1695                        oC. This is due to the charges of the ions; CaO with charges of                    +2 and -2, while NaF has charges of +1 and -1. It is also important to note that                    the magnitude of charge generally has a more significant impact on boiling point                    compared to the size of ions. The illustration below shows atomic and ionic                    radii of select elements.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what is Coulombs law?,1012.8173828125
57,Foundations of Chemistry,Atomic Theory,Laws of Definite and Multiple Proportions,"Dalton knew of the experiments of French chemist Joseph Proust, who demonstrated                    that all samples of a pure compound contain the same elements in the same                    proportion by mass. This statement is known as the law of definite proportions(also, law of constant composition) all samples of a pure compound contain the same elements in the same proportions by mass                    or the law of constant composition. The suggestion that the numbers of atoms of                    the elements in a given compound always exist in the same ratio is consistent                    with these observations. For example, when different samples of isooctane (a                    component of gasoline and one of the standards used in the octane rating system)                    are analyzed, they are found to have a carbon-to-hydrogen mass ratio of 5.33:1,                    as shown in table below.
(also, law of constant composition) all samples of a pure compound contain the same elements in the same proportions by mass
It is worth noting that although all samples of a particular compound have the                    same mass ratio, the converse is not true in general. That is, samples that have                    the same mass ratio are not necessarily the same substance. For example, there                    are many compounds other than isooctane that also have a carbon-to-hydrogen mass                    ratio of 5.33:1.00.
Dalton also used data from Proust, as well as results from his own experiments,                    to formulate another interesting law. The law of multiple proportionswhen two elements react to form more than one compound, a fixed mass of one element will react with masses of the other element in a ratio of small whole numbers states                    that when two elements react to form more than one compound, a fixed mass of one                    element will react with masses of the other element in a ratio of small, whole                    numbers. For example, copper and chlorine can form a green, crystalline solid                    with a mass ratio of 0.558 g chlorine to 1 g copper, as well as a brown                    crystalline solid with a mass ratio of 1.116 g chlorine to 1 g copper. These                    ratios by themselves may not seem particularly interesting or informative;                    however, if we take a ratio of these ratios, we obtain a useful and possibly                    surprising result: a small, whole-number ratio.
when two elements react to form more than one compound, a fixed mass of one element will react with masses of the other element in a ratio of small whole numbers
\\frac{\\displaystyle\\frac{1.116\\;\\mathrm g\\;\\mathrm{Cl}}{1\\;\\mathrm                        g\\;\\mathrm{Cu}}}{\\displaystyle\\frac{0.558\\;\\mathrm                        g\\;\\mathrm{Cl}}{1\\;\\mathrm g\\;\\mathrm{Cu}}}\\;=\\;\
This 2-to-1 ratio means that the brown compound has twice the amount of chlorine                    per amount of copper as the green compound.
This can be explained by atomic theory if the copper-to-chlorine ratio in the                    brown compound is 1 copper atom to 2 chlorine atoms, and the ratio in the green                    compound is 1 copper atom to 1 chlorine atom. The ratio of chlorine atoms (and                    thus the ratio of their masses) is therefore 2 to 1.
A sample of compound X (a clear, colorless, combustible liquid with a                        noticeable odor) is analyzed and found to contain 14.13 g carbon and 2.96 g                        hydrogen. A sample of compound Y (a clear, colorless, combustible liquid                        with a noticeable odor that is slightly different from Xs odor) is analyzed                        and found to contain 19.91 g carbon and 3.34 g hydrogen. Are these data an                        example of the law of definite proportions, the law of multiple proportions,                        or neither? What do these data tell you about substances X and Y?
In compound X, the mass ratio of carbon to hydrogen is:
In compound Y, the mass ratio of carbon to hydrogen is:
The ratio of these ratios is:
This small, whole-number ratio supports the law of multiple proportions. This means that X and Y are different compounds.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,which statement is true according to the law of definite proportions?,143.82769775390625
58,Chemical Bonding and Molecular Geometry,Lewis Structures,Lewis Structures,"We also use Lewis symbols to indicate the formation of covalent bonds, which are shown in            Lewis structures, drawings that describe the bonding in molecules and polyatomic ions.            For example, when two chlorine atoms form a chlorine molecule, they share one pair of            electrons:
The Lewis structure indicates that each Cl atom has three pairs of electrons that are not            used in bonding (called                 lone pairs                                                            two (a pair of) valence electrons that are not used to form a covalent                            bond                                                ) and one shared pair of electrons (written between the atoms). A dash (or line)            is sometimes used to indicate a shared pair of electrons:
two (a pair of) valence electrons that are not used to form a covalent                            bond
A single shared pair of electrons is called a                 single bond                                                            bond in which a single pair of electrons is shared between two atoms                                                . Each Cl atom interacts with eight valence electrons: the six in the lone pairs            and the two in the single bond.
bond in which a single pair of electrons is shared between two atoms
The other halogen molecules (F2, Br2, I2, and                        At2) form bonds like those in the chlorine molecule: one single                    bond between atoms and three lone pairs of electrons per atom. This allows each                    halogen atom to have a noble gas electron configuration. The tendency of main                    group atoms to form enough bonds to obtain eight valence electrons (or 2 valence                    electrons in the 1st shell) is known as the octet rule, as discussed                    previously.
The number of bonds that an atom can form can often be predicted from the number                    of electrons needed to reach an octet (eight valence electrons); this is                    especially true of the nonmetals of the second period of the periodic table (C,                    N, O, and F). For example, each atom of a group 14 element has four electrons in                    its outermost shell and therefore requires four more electrons to reach an                    octet. These four electrons can be gained by forming four covalent bonds, as                    illustrated here for carbon in CCl4 (carbon tetrachloride) and silicon in SiH4                    (silane). Hydrogen only needs two electrons to fill its valence shell, which is                    the first shell. It has one valence electron so it forms one covalent bond to                    obtain the noble gas configuration of helium.
Group 15 elements such as nitrogen have five valence electrons in the atomic                    Lewis symbol: one lone pair and three unpaired electrons. To obtain an octet,                    these atoms form three covalent bonds, as in NH3 (ammonia). Oxygen                    and other atoms in group 16 obtain an octet by forming two covalent bonds.                    Fluorine and other atoms in group 17 obtain an octet by forming one covalent                    bond.
As previously mentioned, when a pair of atoms shares one pair of electrons, we                    call this a single bond. However, a pair of atoms may need to share more than                    one pair of electrons in order to achieve the requisite octet. A                         double bond                                                                                    bond in which two pairs of electrons is shared between two                                    atoms                                                                         forms when two pairs of electrons are shared between a pair of atoms,                    as between the carbon and oxygen atoms in CH2O (formaldehyde) and                    between the two carbon atoms in C2H4 (ethylene):
bond in which two pairs of electrons is shared between two                                    atoms
A                         triple bond                                                                                    bond in which three pairs of electrons are shared between two                                    atoms                                                                         forms when three electron pairs are shared by a pair of atoms, as in                    carbon monoxide (CO) and the cyanide ion (CN):
bond in which three pairs of electrons are shared between two                                    atoms
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what is a shared pair of electrons called a bond?,119.8054428100586
59,Chemical Bonding and Molecular Geometry,Molecular Structure and Polarity,Lone Pairs of Electrons and Bond Angles,"Small distortions from the ideal angles can result from differences in repulsion between            various regions of electron density. In the following activity you will observe the            differences in bond angles between molecules that have the same electron-pair geometry,            but different numbers of lone pairs of electrons and therefore different molecular            shapes.
If you would like to open the simulation in a separate tab, click this                    link:Molecular                    Shapes
Open the simulation and choose ""Real Molecules."" In the ""Name"" section check                ""Molecule Geometry"" and ""Electron Geometry."" In the ""Options"" section check ""Show                Bond Angles."" Choose each of the molecules in the table below and fill in the                appropriate information. Note you may have to move the molecules around a bit to see                the bond angles clearly. Observe the molecules with and without viewing the lone                pairs of electrons by checking and unchecking ""Show Lone Pairs"" in the ""Options""                section.            
As seen in the activity above in the ammonia molecule, the three hydrogen atoms attached            to the central nitrogen are not arranged in a flat, trigonal planar molecular structure,            but rather in a three-dimensional trigonal pyramidal with the nitrogen atom at the apex            and the three hydrogen atoms forming the base. The ideal bond angles in a trigonal            pyramidal shape are based on the tetrahedral electron pair geometry. Again, there are            slight deviations from the ideal because lone pairs occupy larger regions of space than            do bonding electrons. The HNH bond angles in NH3 are slightly smaller than the 109.5            angle in a regular tetrahedral shape such as that of CH4 because the lone pair-bonding            pair repulsion is greater than the bonding pair-bonding pair repulsion.
Small distortions from the ideal angles result from differences in repulsion between            various regions of electron density. VSEPR theory predicts these distortions by            establishing an order of repulsions and an order of the amount of space occupied by            different kinds of electron pairs. The order of electron-pair repulsions from greatest            to least repulsion is:
lone pair-lone pair > lone pair-bonding pair > bonding pair-bonding pair
This order of repulsions determines the amount of space occupied by different regions of            electrons. A lone pair of electrons occupies a larger region of space than the electrons            in a triple bond; in turn, electrons in a triple bond occupy more space than those in a            double bond, and so on. The order of sizes from largest to smallest is:
lone pair > triple bond > double bond > single bond
Consider formaldehyde, H2CO, which is used as a preservative for biological            and anatomical specimens (Figure). This molecule has regions of high electron density            that consist of two single bonds and one double bond. The basic geometry is trigonal            planar with 120 bond angles, but we see that the double bond causes slightly larger            angles (121), and the angle between the single bonds is slightly smaller (118).
The table below summarizes the content you explored previously. It is included here for            reference and convenience.
According to VSEPR theory, the terminal atom locations (Xs in the table above) are            equivalent within the linear, trigonal planar, and tetrahedral electron-pair geometries            (the first three rows of the table). It does not matter which X is replaced with a lone            pair because the molecules can be rotated to convert positions. For trigonal bipyramidal            electron-pair geometries, however, there are two distinct X positions, as shown in            diagram below: an axial position (if we hold a model of a trigonal bipyramid by the two            axial positions, we have an axis around which we can rotate the model) and an equatorial            position (three positions form an equator around the middle of the molecule). The axial            position is surrounded by bond angles of 90, whereas the equatorial position has more            space available because of the 120 bond angles. In a trigonal bipyramidal electron-pair            geometry, lone pairs always occupy equatorial positions because these more spacious            positions can more easily accommodate the larger lone pairs. Theoretically, we can come            up with three possible arrangements for the three bonds and two lone pairs for the ClF3            molecule. The stable structure is the one that puts the lone pairs in equatorial            locations, giving a T-shaped molecular structure.
When a central atom has two lone electron pairs and four bonding regions, we have an            octahedral electron-pair geometry. The two lone pairs are on opposite sides of the            octahedron (180 apart), giving a square planar molecular structure that minimizes lone            pair-lone pair repulsions.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what's the relationship between the two bond angles?,94.3087158203125
60,Gases,Gas Laws,Measuring Gas Pressure,"We can measure atmospheric pressure, theforce exerted by the atmosphere on the earths surface, with a barometer. Abarometer is a glass tube that is closed at one end, filled with a nonvolatileliquid such as mercury, and then inverted and immersed in a container of thatliquid. The atmosphere exerts pressure on the liquid outside the tube, thecolumn of liquid exerts pressure inside the tube, and the pressure at the liquidsurface is the same inside and outside the tube. The height of the liquid in thetube is therefore proportional to the pressure exerted by the atmosphere.
If the liquid is water, normal atmosphericpressure will support a column of water over 10 meters high, which is ratherinconvenient for making (and reading) a barometer. Because mercury (Hg) is about.6-times denser than water, a mercury barometer only needs to be .6 as tall as a water barometera more suitable size. Standardatmospheric pressure of 1 atm at sea level (101,325 Pa) corresponds to a columnof mercury that is about 760 mm (29.92 in.) high.
A manometer is a device similar to abarometer that can be used to measure the pressure of a gas trapped in acontainer. An open-end manometer is a U-shaped tube with one arm open to theatmosphere, one arm that connects to the gas to be measured, and a nonvolatileliquid (usually mercury) in between. The distance between the liquid levelscorresponds to the difference in pressure between the gas in the container andthe atmosphere.
Calculate the pressure of the gas in the manometer pictured below in units ofkPa. Atmospheric pressure is determined to be 100.5 kPa.
In order to use the equation Pgas = Patm  h, the height and the atmosphericpressure need to be in the same units. Since we want our final answer inunits of kPa, we will convert 53 mmHg to kPa and then use the equation.
Now we can apply the equation:
*Note: Don\'t forget your significant figure rules for adding and subtracting.In this example, we rounded our answer to the tenths place because that isthe last place value where both of our measurements have a significantfigure.",,what is the last place value in the model of a manometer?,121.15444946289062
61,Gases,The Kinetic-Molecular Theory,Molecular Velocities and Kinetic Energy,"The previous discussion showed that the KMTqualitatively explains the behaviors described by the various gas laws. The postulatesof this theory may be applied in a more quantitative fashion to derive these individuallaws. To do this, we must first look at velocities and kinetic energies of gasmolecules, and the temperature of a gas sample.
In a gas sample, individual molecules have widelyvarying speeds; however, because of the vast number of molecules and collisionsinvolved, the molecular speed distribution and average speed are constant. Thismolecular speed distribution is known as a Maxwell-Boltzmann distribution, and itdepicts the relative numbers of molecules in a bulk sample of gas that possesses a givenspeed.
The molecular speed distribution for oxygen gas at K is shown here. Very few molecules move at either very low or very high speeds. Thenumber of molecules with intermediate speeds increases rapidly up to a maximum, which isthe most probable speed, then drops off rapidly. Note that the most probable speed, \xce\xbdp, is a little less than 400 m/s, while the root mean square speed, urms,is closer to 500 m/s.
The kinetic energy (KE) of a particle of mass (m)and speed (u) is given by:
\\mathrm{KE} = \ mu^2
Expressing mass in kilograms and speed in metersper second will yield energy values in units of joules (J = kg m 2 s-2). To deal with a large number of gas molecules, we use averages forboth speed and kinetic energy. In the KMT, the root mean square velocity of a particle,urms , is defined as the square root of the average of the squares of thevelocities with n = the number of particles:
u_\\mathrm{rms} = \\sqrt{\\overline{u^2}} = \\sqrt{\\frac{u^2_1 + u^2_2 + u^2_3 +u^2_4 + ...}{n}}
The average kinetic energy, KE avg , isthen equal to:
\\mathrm{KE}_\\mathrm{avg} = \ mu^2_\\mathrm{rms}
Where m is the mass of an individual molecule ofgas in kg. Assuming we are dealing with one mole of molecules of a gas we can derive thefollowing equation:
u_\\mathrm{rms} = \\sqrt{\\frac{3\\ RT}{M}}
Where M is the molar mass of the gas in units ofkg/mol.
The KEavg of a collection of gasmolecules is also directly proportional to the temperature of the gas and may bedescribed by the equation:
\\mathrm{KE}_\\mathrm{avg} = \ RT
where R is the gas constant and T is the kelvintemperature. (*Note that in this equation only temperature affects average kineticenergy. Any gas at the same temperature will have the same average kinetic energy.) Whenused in this equation, the appropriate form of the gas constant is 8.314 J/K mol (8.314kg m2 s-2 K-1 mol-1 ). These twoseparate equations for KE avg may be combined and rearranged to yield arelation between molecular speed and temperature:
\ mu^2_\\mathrm{rms} = \ RT
u_{rms}\\;=\\;\\sqrt{\\frac{3RT}M}
If the temperature of a gas increases, its KEavg increases, more molecules have higher speeds and fewer molecules havelower speeds, and the distribution shifts toward higher speeds overall, that is, to theright. If temperature decreases, KEavg decreases, more molecules have lowerspeeds and fewer molecules have higher speeds, and the distribution shifts toward lowerspeeds overall, that is, to the left. This behavior is illustrated for nitrogen gasbelow.
At a given temperature, all gases have the same KEavg for their molecules. Gases composed of lighter molecules have morehigh-speed particles and a higher urms , with a speed distribution thatpeaks at relatively higher velocities. Gases consisting of heavier molecules have morelow-speed particles, a lower urms , and a speed distribution that peaks atrelatively lower velocities.
Adapted from Openstax Chemistry under Creative Commons Attribution 4.0 License.
Download for free at .",,"if we are dealing with a large number of gas molecules, what should we do?",18.245540618896484
62,Solutions,Colligative Properties,Mole Fraction and Molality,"Several units commonly used to express the concentrations of solution components were            introduced earlier, each providing certain benefits for use in different applications.            For example, molarity (M) is a convenient unit for use in stoichiometric calculations,            since it is defined in terms of the molar amounts of solute species:
Because solution volumes vary with temperature, molar concentrations will likewise vary.            When expressed as molarity, the concentration of a solution with identical numbers of            solute and solvent species will be different at different temperatures, due to the            contraction/expansion of the solution. More appropriate for calculations involving many            colligative properties are mole-based concentration units whose values are not dependent            on temperature. Two such units are mole fraction (introduced in the previous unit on            gases) and molality.
The mole fraction, X, of a component is the ratio of its molar amount to the                    total number of moles of all solution components:
Molality is a concentration unit defined as the ratio of the numbers of moles of                    solute to the mass of the solvent in kilograms:
Since these units are computed using only masses and molar amounts, they do not vary with            temperature and, thus, are better suited for applications requiring            temperature-independent concentrations, including several colligative properties, as            will be described in this module.
The antifreeze in most automobile radiators is a mixture of equal volumes of ethylene                glycol and water, with minor amounts of other additives that prevent corrosion. What                are the (a) mole fraction and (b) molality of ethylene glycol,                    C2H4(OH)2, in a solution prepared from 2.22                     103 g of ethylene glycol and 2.00  103 g of water                (approximately 2 L of glycol and 2 L of water)?
(a) The mole fraction of ethylene glycol may be computed by first deriving molar                amounts of both solution components and then substituting these amounts into the                unit definition.
Notice that mole fraction is a dimensionless property, being the ratio of properties                with identical units (moles).
(b) To find molality, we need to know the moles of the solute and the mass of the                solvent (in kg).
First, use the given mass of ethylene glycol and its molar mass to find the moles of                solute:
Then, convert the mass of the water from grams to kilograms:
Finally, calculate molarity per its definition:
Calculate the mole fraction of solute and solvent in a 2.80 m solution of sodium                chloride.
Converting from one concentration unit to another is accomplished by first comparing                the two unit definitions. In this case, both units have the same numerator (moles of                solute) but different denominators. The provided molal concentration may be written                as:
The numerator for this solutions mole fraction is, therefore, 2.80 mol NaCl. The                denominator may be computed by deriving the molar amount of water corresponding to                1.00 kg
and then substituting these molar amounts into the definition for mole fraction.
Note that the sum of the mole fraction of NaCl and the mole fraction of H2O is 1 (0.952 + 0.0480 = 1.000). This is true in general - the sum of the mole fractions of the solution components always equals 1.
Adapted from Openstax Chemistry under   Creative Commons Attribution                4.0 License.
Download for free at .",,what is the relationship between the number of moles in an antifreeze and the,14.932785034179688
63,Electronic Structure and Periodic Properties,Quantum Theory,Quantum Mechanics,"Werner Heisenberg considered the limits of how accurately we can measure                    properties of an electron or other microscopic particles. He determined that                    there is a fundamental limit to how accurately one can measure both a particles                    position and its momentum simultaneously. The more accurately we measure the                    momentum of a particle, the less accurately we can determine its position at                    that time, and vice versa. This is summed up in what we now call the Heisenberg                    uncertainty principle.
It is fundamentally impossible to determine simultaneously and exactly both the                    momentum and the position of a particle.
For a particle of mass m moving with velocity vx in the x direction (or equivalently with momentum px), the product of the uncertainty in the                    position, \xcex, and the uncertainty in the momentum, \xcepx, must be                    greater than or equal to \\(\\frac{\\mathitf}{\}\\) (recall that                    \\(\\mathitf=\\;\\frac h{2\\pi}\\), the value of Plancks constant divided by 2).
\\Delta x \imes \\Delta p_x = (\\Delta x)(m \\Delta v) \\geq                    \\frac{\\hbar}2
This equation allows us to calculate the limit to how precisely we can know both                    the simultaneous position of an object and its momentum. For example, if we                    improve our measurement of an electrons position so that the uncertainty in the                    position (\xcex) has a value of, say, 1 pm                    (10-12 m, about 1% of the diameter of a hydrogen atom), then our                    determination of its momentum must have an uncertainty with a value of at                    least
\\left[ \\Delta p = m \\Delta v = \\frac{h}{2 \\Delta x} \ight] =                    \\frac{(1.055 \imes 10^{-34} \\mathrm{kg}\\                    \\mathrm{m}^2/\\mathrm{s})}{(2\\^{-12}\\mathrm{m})} = 5 \imes                    10^{-23} \\mathrm{kg}\\ \\mathrm{m/s}
The value of h is not large, so the uncertainty in the position or momentum of a                    macroscopic object like a baseball is too insignificant to observe. However, the                    mass of a microscopic object such as an electron is small enough that the                    uncertainty can be large and significant.
Heisenbergs principle imposes ultimate limits on what is knowable in science.                    The uncertainty principle can be shown to be a consequence of waveparticle                    duality, which lies at the heart of what distinguishes modern quantum theory                    from classical mechanics. Recall that the equations of motion obtained from                    classical mechanics are trajectories where, at any given instant in time, both                    the position and the momentum of a particle can be determined exactly.                    Heisenbergs uncertainty principle implies that such a view is untenable in the                    microscopic domain and that there are fundamental limitations governing the                    motion of quantum particles. This does not mean that microscopic particles do                    not move in trajectories, it is just that measurements of trajectories are                    limited in their precision. In the realm of                         quantum mechanics                                                                                    field of study that includes quantization of energy,                                    wave-particle duality, and the Heisenberg uncertainty principle                                    to describe matter                                                                        , measurements introduce changes into the system that is being                    observed.
field of study that includes quantization of energy,                                    wave-particle duality, and the Heisenberg uncertainty principle                                    to describe matter
Shortly after de Broglie published his ideas that the electron in a hydrogen atom                    could be better thought of as being a circular standing wave instead of a                    particle moving in quantized circular orbits, as Bohr had argued, Erwin                    Schrdinger extended de Broglies work by incorporating the de Broglie relation                    into a wave equation, deriving what is today known as the Schrdinger equation.                    When Schrdinger applied his equation to hydrogen-like atoms, he was able to                    reproduce Bohrs expression for the energy and, thus, the Rydberg formula                    governing hydrogen spectra, and he did so without having to invoke Bohrs                    assumptions of stationary states and quantized orbits, angular momenta, and                    energies; quantization in Schrdingers theory was a natural consequence of the                    underlying mathematics of the wave equation.
Like de Broglie, Schrdinger initially viewed the electron in hydrogen as being a                    physical wave instead of a particle, but where de Broglie thought of the                    electron in terms of circular stationary waves, Schrdinger properly thought in                    terms of three-dimensional stationary waves, or wavefunctions, represented by                    the Greek letter psi, . A few years later, Max Born proposed an interpretation                    of the                         wavefunction                                                                                     mathematical description of an atomic orbital that describes the                                    shape of the orbital; it can be used to calculate the                                    probability of finding the electron at any given location in the                                    orbital, as well as dynamical variables such as the energy and                                    the angular momentum                                                                         that is still accepted today: Electrons are still particles, and so the                    waves represented by  are not physical waves but, instead, are complex                    probability amplitudes. The square of the magnitude of a wavefunction                     describes the probability of the quantum particle being                    present near a certain location in space. This means that wavefunctions can be                    used to determine the distribution of the electrons density with respect to the                    nucleus in an atom. The general form of the Schrdinger equation is seen                    below.
mathematical description of an atomic orbital that describes the                                    shape of the orbital; it can be used to calculate the                                    probability of finding the electron at any given location in the                                    orbital, as well as dynamical variables such as the energy and                                    the angular momentum
\\(\\overbrace H\\) is the Hamiltonian                        operator, a set of mathematical operations representing the total energy                        of the quantum particle (such as an electron in an atom),  is the                        wavefunction of this particle that can be used to find the special                        distribution of the probability of finding the particle, and E is the                        actual value of the total energy of the particle.
Schrdingers work, as well as that of Heisenberg and many other scientists                    following in their footsteps, is generally referred to as quantum mechanics.
Adapted from Openstax Chemistry under Creative Commons Attribution 4.0                License.
Download for free at .",,which statement is true according to the heisenberg?,108.70121002197266
64,Chemical Bonding and Molecular Geometry,Advanced Theories of Covalent Bonding,Sigma and Pi Bonds,"In addition to the distance between two orbitals, the orientation of orbitals also            affects their overlap (other than for two s orbitals, which are spherically symmetric).            Greater overlap is possible when orbitals are oriented such that they overlap on a            direct line between the two nuclei. The diagrams below illustrates this for two p            orbitals from different atoms; the overlap is greater when the orbitals overlap end to            end rather than at an angle.
The overlap of two s orbitals (as in H2), the overlap of an s orbital and a p            orbital (as in HCl), and the end-to-end overlap of two p orbitals (as in Cl2)            all produce sigma bonds ( bonds), as illustrated below. A  bond is a covalent bond in            which the electron density is concentrated in the region along the internuclear axis;            that is, a line between the nuclei would pass through the center of the overlap region.            Single bonds in Lewis structures are described as  bonds in valence bond theory.
A pi bond ( bond) is a type of covalent bond that results from the side-by-side overlap            of two p orbitals, as illustrated below. In a  bond, the regions of orbital overlap lie            on opposite sides of the internuclear axis. Along the axis itself, there is a node, that            is, a plane with no probability of finding an electron.
While all single bonds are  bonds, multiple bonds consist of both  and  bonds. As the            Lewis structures suggest, O2 contains a double bond, and N2            contains a triple bond. The double bond consists of one  bond and one  bond, and the            triple bond consists of one  bond and two  bonds. Between any two atoms, the first            bond formed will always be a  bond, but there can only be one  bond in any one            location. In any multiple bond, there will be one  bond, and the remaining one or two            bonds will be  bonds. These bonds are described in more detail later in this            module.
As seen in the table on the previous page, an average carbon-carbon single bond is 347            kJ/mol, while in a carbon-carbon double bond, the  bond increases the bond strength by            267 kJ/mol. Adding an additional  bond causes a further increase of 225 kJ/mol. We can            see a similar pattern when we compare other  and  bonds. Thus, each individual  bond            is generally weaker than a corresponding  bond between the same two atoms. In a  bond,            there is a greater degree of orbital overlap than in a  bond.
Butadiene, C4H6, is used to make synthetic rubber. Identify the number of  and                 bonds contained in this molecule.
There are six  CH bonds and one  CC bond, for a total of seven from the single                bonds. There are two double bonds that each have a  bond in addition to the  bond.                This gives a total nine  and two  bonds overall.
Adapted from Openstax Chemistry under  Creative Commons Attribution                4.0 License.
Download for free at .",,what is the relationship between a pi bond and a triple bond?,68.4572982788086
65,Composition of Substances and Solutions,The Mole,The Mole,"The moleamount of substance containing the same number of atoms, molecules, ions, or other entities as the number of atoms in exactly 12 grams of C-12 is an amount unit similar to familiar units like pair, dozen, gross, etc. It            provides a specific measure of the number of atoms or molecules in a bulk sample of            matter. A mole is defined as the amount of substance containing the same number of            discrete entities (such as atoms, molecules, and ions) as the number of atoms in a            sample of pure 12C weighing exactly 12 g. The mole provides                a link between an easily measured macroscopic property, bulk mass, and an extremely                important fundamental property, number of atoms, molecules, and so forth.
amount of substance containing the same number of atoms, molecules, ions, or other entities as the number of atoms in exactly 12 grams of C-12
The number of entities composing a mole is defined to be            6.02214179×1023, a fundamental constant named Avogadros number                (NA)defined value of the number of entities comprising 1 mole of substance, equal to 6.022  1023 per mole or the Avogadro constant in honor of Italian scientist Amedeo            Avogadro. This constant is properly reported with an explicit unit of cper mole,d a            conveniently rounded version being 6.022×1023/mol.
defined value of the number of entities comprising 1 mole of substance, equal to 6.022  1023 per mole
Consistent with its definition as an amount unit, 1 mole of any element contains the            same number of atoms as 1 mole of any other element. For example 1 mole of carbon            contains 6.022×1023 atoms of carbon and 1 mole of phosphorus contains 6.022×1023             atoms of phosphorus. The masses of 1 mole of different elements,            however, are different, since the masses of the individual atoms are drastically            different. The molar massmass in grams of 1 mole of a substance of an element (or compound) is the mass in grams of 1 mole of            that substance, a property expressed in units of grams per mole (g/mol). Because the            definitions of both the mole and the atomic mass unit are based on the same reference            substance, 12C, the molar mass of any substance is numerically equivalent to            its atomic or formula weight in amu. The molar mass of carbon is 12.01 g/mol (same value            as its atomic mass) and the molar mass of phosphorus is 30.97 g/mol (same value as its            atomic mass).
mass in grams of 1 mole of a substance
While atomic mass and molar mass are numerically equivalent, keep in mind that they are            vastly different in terms of scale, as represented by the vast difference in the            magnitudes of their respective units (amu versus g). To appreciate the enormity of the            mole, consider a small drop of water weighing about 0.03 g. Although this represents            just a tiny fraction of 1 mole of water (approximately 18 g), it contains more water            molecules than can be clearly imagined. If the molecules were distributed equally among            the roughly seven billion people on earth, each person would receive more than 100            billion molecules.
As we discussed, the molar mass of an element is numerically the same value as                    the atomic mass of that element listed on the periodic table. Likewise, the                    molar mass of a compound is numerically the same value as the formula mass for                    that compound. For example, the formula mass of NaCl is 58.44 amu. Therefore the                    molar mass of NaCl is 58.44 g and the number of NaCl units is 6.022×1023.                         The formula mass of water H2O is 18.02 amu.                    Therefore the molar mass of water is 18.02 g and the number of water molecules                    in one mole of water is 6.022×1023.
*Note that one unit of a molecular(covalent) compound is referred to as a                    molecule. However, one unit of a ionic compound is referred to as a formula                    unit.
Adapted from Openstax Chemistry under  Creative Commons Attribution                        4.0 License.
Download for free at .",,"according to the text, how many atoms does a mole have?",69.0019760131836
