,Unit,Module,Title,Subheaders,Paragraph,Question,Key Concepts,Information Score
14,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Most plausible sentence continuation tasks where the system should choose between the best continuation for a given sentence given multiple choices. For this, all the possible concatenations are passed through BERT. A task-specific parameter vector is introduced whose dot product with the [CLS] token output representation denotes a score for each choice. These scores are normalized with a softmax layer to choose the best option.",The score is then used to determine what?,"['output', 'choose', 'parameter', 'good', 'pass', 'system', 'dot', 'vector', 'continuation', 'layer', 'multiple', 'concatenation', 'token', 'product', 'give', 'option', 'score', 'choice', 'possible', 'introduce', 'normalize', 'softmax', 'plausible', 'denote', 'representation', 'specific', 'task', 'sentence']",0.0
15,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,ALBERT model has 12 million parameters (with 768 hidden layers and 128 embedding layers) as compared to 110 million parameters of BERT-Base. The lighter model reduced the training time and inference time.,The model reduced the training time and inference time by how much?,"['parameter', 'hidden', 'layer', 'light', 'training', 'model', 'time', 'reduce', 'embed', 'compare', 'inference']",0.0
16,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"In addition to ALBERT being light, unlike BERT which works on NSP, ALBERT works on a concept called SOP (Sentence Order Prediction). SOP is a cclassification modeld where the goal is to cclassifyd whether the 2 given sentences are swapped or not i.e., whether they are in the right order.",SOP is similar to what?,"['right', 'modeld', 'cclassifyd', 'swap', 'work', 'call', 'light', 'addition', 'concept', 'give', 'goal', 'order', 'cclassification', 'sentence']",0.0
17,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,RoBERTa (Robustly Optimized BERT pre-training Approach),RoBERTa (Robustly Optimized BERT pre-training Approach) is a well known pre-training program for what?,"['-', 'optimize', 'approach', 'training', 'pre']",0.15384615384615385
18,Advanced Natural Language Processing,BERT,Bidirectional Encoder Representations from Transformers (BERT),,"Instead of MLM for pre-training, ELECTRA uses a task called cReplaced Token Detectiond (RTD). In RTD, instead of masking the token, the token is replaced by a wrong token and the model is expected to classify, whether the tokens are replaced with wrong or not.","In RTD, what is replaced by a model?","['-', 'use', 'mask', 'wrong', 'expect', 'classify', 'call', 'training', 'token', 'model', 'replace', 'pre', 'task']",0.75
19,Deep Learning and Model Deployment,Model Deployment,About the Author - Kaushik Shakkari,,Kaushik Shakkari,Kaushik Shakkari is a famous poet and poet of what nationality?,[],0.0
20,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Architectures,"LeNet,AlexNet,VGGNet,ResNet,The Current State of CNN research","LeNet is perhaps one of the first successful applications of CNNs was made in 1998 by Yann LeCun et al. They proposed a CNN architecture called LeNet for the task of document recognition. In particular, the task they considered was to recognize handwriting. The architecture of LeNet (Figure 9) contains two convolutional layers separated by two pooling layers, and then finally, two fully connected layers to perform the eventual classification. The convolutional filters used were of size 5x5, with a stride of size 1, whereas the pooling layers were 2x2 with a stride of 2.",The LeNet architecture was made by using what kind of layers?,"['call', 'propose', 'filter', 'classification', 'contain', 'layer', 'convolutional', 'particular', 'successful', 'separate', 'stride', 'recognition', 'eventual', 'recognize', 'architecture', 'perform', 'connected', 'cnn', 'size', 'lenet', 'application', 'consider', 'handwriting', 'pooling', 'document', 'task']",0.0
21,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Architectures,"LeNet,AlexNet,VGGNet,ResNet,The Current State of CNN research","AlexNet was the first successful application of CNNs to the ImageNet dataset and is considered a breakthrough in the application of deep learning to computer vision. It was the first CNN-based winner of the ImageNet challenge. It achieved an error rate of 15.3 percent on ImageNet in 2012, which was state-of-the-art at that time. The architecture of AlexNet (Figure 10) contains five convolutional layers with max pooling and three fully connected layers before making 1,000 class prediction problems via the softmax function. AlexNet contained eight layers and was also the first to use the fast and efficient Rectified Linear Unit (ReLU) activation functions and used extensive data augmentation. The original AlexNet uses 11x11 convolutional filters with a stride of size 4. Figure 11 shows the first layer of the AlexNet convolutional filter.",The first layer of the AlexNet convolutional filter was used to create a new layer called what?,"['computer', 'use', 'error', 'winner', 'activation', 'efficient', 'challenge', 'time', 'filter', 'deep', 'figure', 'dataset', 'contain', 'datum', 'layer', 'convolutional', 'class', 'successful', 'stride', 'show', 'extensive', 'percent', 'learning', 'prediction', 'achieve', 'architecture', 'relu', 'augmentation', 'base', 'connected', 'cnn', 'softmax', 'breakthrough', 'art', 'vision', 'problem', 'size', 'function', 'max', 'application', 'rate', 'fast', 'original', 'make', 'consider', 'pooling', 'state']",1.5333333333333332
22,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Architectures,"LeNet,AlexNet,VGGNet,ResNet,The Current State of CNN research",Figure 11. Image filters learned by the first layer of AlexNet.,Image filters learned by the sixth layer of what?,"['image', 'layer', 'learn', 'filter', 'figure']",0.0
23,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Architectures,"LeNet,AlexNet,VGGNet,ResNet,The Current State of CNN research","He et al. (2015) introduced the Residual Network or ResNet as ""shortcut connections"" that allow layers to be skipped. ResNet researchers showed that a 56-layer neural network has both higher training as well as a higher testing error compared to a 20-layer network. One reason for this surprising finding is that the valuable predictive signal attenuates as it passes through many layers and the associated activation functions. The solution to this problem and the key idea behind a ResNet is to fit the residual value of the signal instead of the actual desired mapping. Doing so allows us to train a staggering 152-layer residual network with an error rate of just 3.57 percent on the ImageNet dataset, which is actually better than human-level accuracy on this task.",ResNet researchers showed that a 56-layer neural network has both higher training as well as a higher testing error compared to what?,"['predictive', 'error', 'activation', 'pass', 'solution', 'well', 'training', 'associated', 'researcher', 'accuracy', 'dataset', 'staggering', 'resnet', 'layer', 'human', 'attenuate', 'testing', 'show', 'actual', 'percent', 'shortcut', 'signal', 'value', 'reason', 'idea', 'introduce', 'skip', 'train', 'problem', 'fit', 'mapping', 'key', 'function', 'connection', 'desire', 'surprising', 'network', 'finding', 'rate', 'valuable', 'level', 'task', 'high', 'residual', 'allow', 'neural', 'compare']",1.3157894736842097
24,Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Architectures,"LeNet,AlexNet,VGGNet,ResNet,The Current State of CNN research",Figure 14. ResNet-18 architecture.,ResNet-18 architecture is a type of architecture that is based on what type of architecture?,"['figure', 'architecture']",0.09090909090909091
25,Data Science Project Planning,Design and Plan Overview,Design Considerations,,"Information about the intended users of the system (e.g., working professionals or consumers) may affect the type of information your system has to expose. In your design, this will translate into specific outlets of information from your model.","In addition to the intended users, what else might you have to do to the system?","['user', 'consumer', 'type', 'translate', 'work', 'professional', 'affect', 'design', 'model', 'specific', 'system', 'intend', 'outlet', 'information', 'expose']",0.0
26,Data Science Project Planning,Design and Plan Overview,Design Considerations,,"If performance is an important NFR, then a good assumption to have is the response time for your system (e.g., the requirement may indicate that an API call has to respond back within no more than 2 ms).","If performance is an important NFR, then what is the response time for your system?","['performance', 'indicate', 'requirement', 'good', 'assumption', 'ms', 'time', 'system', 'api', 'important', 'respond', 'response']",0.0
27,Collecting and Understanding Data,Sparse Matrix,Module 10 Summary,,A matrix is a data structure that encodes the relationship between rows and columns. The disadvantage of this format is that matrices can be very sparse in certain domains. Sparsity refers to the fact that the majority of entries are unknown or missing. Sparsity leads to a waste of space and computational resources.,Sparsity leads to a waste of what?,"['missing', 'resource', 'column', 'certain', 'row', 'matrix', 'data', 'space', 'structure', 'entry', 'waste', 'disadvantage', 'fact', 'format', 'sparsity', 'unknown', 'computational', 'sparse', 'domain', 'majority', 'refer', 'lead', 'relationship', 'encode']",2.1428571428571423
28,Collecting and Understanding Data,Sparse Matrix,Module 10 Summary,,Equivalent representations of A as a sparse matrix instead aim to store only the non-zero (non-empty) values and operate on them.,"Instead of storing the non-zero values, what is the purpose of the sparse matrix?","['sparse', 'equivalent', 'matrix', '-', 'aim', 'representation', 'operate', 'store', 'non', 'value']",0.0
29,Collecting and Understanding Data,Sparse Matrix,Module 10 Summary,,"The sparse format is suitable for storing not only the input data but also model parameters in certain domains. For example, in computational biology, we typically need to build predictive models (e.g., linear regression, logistic regression) over a large number of features. We can opt to store the model weights in a sparse vector/matrix format to optimize training and inference.","In addition to model parameters, what else is used to store model parameters?","['predictive', 'parameter', 'optimize', 'training', 'model', 'store', 'certain', 'matrix', 'suitable', 'vector', 'datum', 'large', 'need', 'regression', 'example', 'logistic', 'feature', 'inference', 'biology', 'format', 'weight', 'input', 'number', 'opt', 'computational', 'sparse', 'domain', 'linear', 'build']",0.0
30,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","There are two popular psychological theories on how humans perform categorization. Exemplar theory states that people store the attributes of observed examples, called exemplars, along with their category labels in memory, and categorize a new object with the label of the most similar exemplar. For example, people would categorize an object as a bird if its similar to any type of bird that they have come across, e.g., parrot, sparrow, penguin. In contrast, prototype theory states that there is a central representation of each category, and people compare a new object against these central tendencies to determine its category. With the same bird classification task above, based on the prototype theory, one would label an object as a bird if it possesses the common, caveraged features of a bird, e.g., two legs, two wings, and lay eggs. Overall, the key difference between the two theories is whether a new object is compared to real instances (exemplars) or an abstract central representation (prototype) of a category.","Exemplar theory states that people store the attributes of observed examples, called what?","['caveraged', 'attribute', 'call', 'common', 'people', 'categorize', 'prototype', 'theory', 'wing', 'instance', 'psychological', 'store', 'penguin', 'difference', 'sparrow', 'abstract', 'classification', 'possess', 'type', 'human', 'label', 'observe', 'categorization', 'similar', 'lie', 'come', 'example', 'new', 'category', 'feature', 'real', 'popular', 'perform', 'base', 'egg', 'contrast', 'key', 'object', 'bird', 'determine', 'leg', 'tendency', 'memory', 'representation', 'task', 'exemplar', 'central', 'state', 'compare']",0.0
31,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","While prior researchers have often regarded these theories as fundamentally disparate, the authors instead suggest that they can be viewed as two extremes on the same continuum of bias-variance and that the way humans actually perform categorization lies somewhere in the middle of this continuum. Their attempt to connect psychological theories of human cognition to statistical machine learning concepts of bias and variance presented a novel perspective at the time of the papers writing (keep in mind that back in 2010, statistical ML was not as popular as it is nowadays, especially to those in non-technical areas such as psychologists).",The authors believe that the two extremes of bias-variance and variance are what?,"['-', 'view', 'theory', 'time', 'researcher', 'machine', 'psychological', 'non', 'statistical', 'present', 'connect', 'cognition', 'regard', 'way', 'human', 'categorization', 'lie', 'novel', 'prior', 'area', 'mind', 'learning', 'extreme', 'continuum', 'popular', 'technical', 'perform', 'disparate', 'suggest', 'middle', 'variance', 'perspective', 'attempt', 'paper', 'write', 'concept', 'author', 'psychologist', 'bias']",0.0
32,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","Obtain human categorization of the generated data. 13 undergraduate students were recruited for the study. Subjects were shown a sequence of flags that may belong to either a pirate ship or a friendly ship, and the flag features were sampled from one of the five Gaussian distributions in step 1. They were then asked to learn the categorization by first attempting to classify each flag on their own, then seeing feedback on the correctness of their answer, and then repeating these steps with the next flag.",The final step was to see how many students in the group learn the classification?,"['repeat', 'obtain', 'answer', 'ask', 'sequence', 'datum', 'correctness', 'human', 'subject', 'categorization', 'distribution', 'pirate', 'show', 'step', 'feature', 'belong', 'study', 'generate', 'gaussian', 'friendly', 'recruit', 'student', 'see', 'classify', 'attempt', 'flag', 'ship', 'learn', 'feedback', 'sample', 'undergraduate']",0.0
33,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","Build models that represent the exemplar approach, prototype approach, and locally regularized context approach. The exemplar model is called GCM and is denoted in Equation 5. The prototype model is denoted in equations 6 and 7. The locally regularized model assumes the same functional form as the exemplar model, but the sensitivity parameter c (whose high value corresponds to more cexemplar-liked and the low value corresponds to more cprototype-liked) is modulated locally, i.e., its value is set independently at each partition of the feature space.",The local model is called what?,"['context', 'parameter', 'call', 'functional', 'low', 'approach', 'prototype', 'model', 'form', 'sensitivity', 'space', 'correspond', 'represent', 'feature', 'like', 'cprototype', 'set', 'modulate', 'regularize', 'assume', 'denote', 'equation', 'partition', 'gcm', 'exemplar', 'high', 'value']",0.0
34,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","Fit the models to subject data. The fitted parameters are optimized to fit the ensemble of each subjects responses. This helps answer the question: as the complexity K varies, which models best reflect the human performance in this flag classification task?","This helps answer the question: as the complexity K varies, which models best reflect the human performance in this flag classification task?","['question', 'parameter', 'optimize', 'model', 'answer', 'response', 'k', 'classification', 'datum', 'human', 'subject', 'reflect', 'ensemble', 'performance', 'varie', 'flag', 'task', 'help', 'fit', 'complexity']",0.10526315789473684
35,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","Fit the models to concept data. The fitted parameters are optimized to maximize the likelihood of the training examples observed so far at each point in the experiment. In other words, the ground truth labels of the flags are used in this process instead of the human classifications like in the previous step. This helps answer the question: as the complexity K varies, which models performance is more closely correlated to human performance?","This helps answer the question: as the complexity K varies, which models performance is more closely correlated to human performance?","['question', 'parameter', 'optimize', 'previous', 'training', 'model', 'process', 'maximize', 'answer', 'experiment', 'k', 'classification', 'datum', 'human', 'likelihood', 'label', 'observe', 'point', 'example', 'truth', 'step', 'ground', 'performance', 'word', 'correlate', 'varie', 'flag', 'concept', 'help', 'fit', 'complexity']",0.10526315789473684
36,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","When fitting models to subject data, the exemplar model has a better fit than the prototype model across all complexity levels. At larger complexity levels (K = 4 or K = 5), the two models converge in performance, largely because they were fitted on human categorizations that were just random guesses.",The model has a better fit than the prototype model because it is fitted on what?,"['performance', 'datum', 'converge', 'large', 'subject', '=', 'prototype', 'model', 'fitting', 'human', 'categorization', 'guess', 'level', 'random', 'exemplar', 'fit', 'complexity']",0.4999999999999999
37,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","When fitting models to concept data, the prototype models performance decreases much faster than human performance, whereas the exemplar models performance does not decrease fast enough to match human performance at higher complexity levels.",The prototype models performance is similar to what?,"['decrease', 'performance', 'datum', 'human', 'prototype', 'model', 'fitting', 'concept', 'level', 'exemplar', 'high', 'match', 'complexity']",0.0
38,Analytic Algorithms and Model Building,[Research Paper] Conceptual Complexity and the Bias/Variance Tradeoff,Conceptual Complexity and the Bias/Variance Tradeoff,"Who are the paper's authors? Why are they qualified to write this paper?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summary of the paper\xe2\x80\x99s experiments and findings.,What are the implications of the paper\xe2\x80\x99s findings?","Circling back to the question of whether humans perform categorization by the prototype approach (compare a new object to an abstract prototype of each candidate category) or the exemplar approach (compare a new object to existing instances of each candidate category stored in memory), this papers finding suggests that humans adopt a middle ground. Humans dont assume there is only a single prototype for each concept but do not keep in memory a large number of exemplars for each candidate prototype either. Instead, they treat concepts as mixtures of several sub-concepts, each represented by a partition of the feature space with its own localized sensitivity parameter c.","Humans do not assume that each concept is a single prototype, but rather what?","['-', 'question', 'parameter', 'approach', 'sub', 'prototype', 'candidate', 'instance', 'mixture', 'store', 'sensitivity', 'abstract', 'space', 'human', 'large', 'categorization', 'single', 'new', 'category', 'ground', 'represent', 'feature', 'localize', 'perform', 'suggest', 'number', 'treat', 'assume', 'middle', 'partition', 'exist', 'object', 'adopt', 'finding', 'paper', 'memory', 'concept', 'exemplar', 'circle', 'compare']",1.3571428571428568
39,Exploratory Data Analysis,Performing Exploratory Data Analysis,Data Wrangling,"Outliers,The z-score,Handling Missing Values,Imputation,Omission,Outliers,Transforming Categorical Data,Transforming Quantitative Data,Data Wrangling to Data Exploration","Data wrangling is a time-consuming process. As a data science team considers all data that has been extracted as raw data, the data wrangling process can assign value to a dataset after the data has been cleaned and transformed. Data wrangling is also part of the data understanding phase of the data science lifecycle and successful data understanding requires a clear understanding of the business and defining the business and analytic objectives and requirements for the analytic solution.",Data wrangling is also part of the data understanding phase of what?,"['raw', 'consume', 'solution', 'time', 'process', 'dataset', 'data', 'understanding', 'datum', 'transform', 'successful', 'objective', 'require', 'clear', 'extract', 'lifecycle', 'analytic', 'define', 'team', 'requirement', 'phase', 'wrangling', 'science', 'assign', 'clean', 'consider', 'value', 'wrangle', 'business']",0.0
40,Exploratory Data Analysis,Performing Exploratory Data Analysis,Data Wrangling,"Outliers,The z-score,Handling Missing Values,Imputation,Omission,Outliers,Transforming Categorical Data,Transforming Quantitative Data,Data Wrangling to Data Exploration","Despite its importance, data wrangling presents some challenges that are common in data science projects.","For example, what is a common problem with data science projects?","['data', 'datum', 'common', 'challenge', 'importance', 'project', 'wrangling', 'science', 'present']",0.4545454545454546
41,Exploratory Data Analysis,Performing Exploratory Data Analysis,Data Wrangling,"Outliers,The z-score,Handling Missing Values,Imputation,Omission,Outliers,Transforming Categorical Data,Transforming Quantitative Data,Data Wrangling to Data Exploration",Consider an organization that collects or purchases customer data from a marketing firm. The data from the marketing firm can be sent to the organization by a simple file transfer or through more automated sharing processes. The file from the marketing firm will contain formatted data that fits their data architecture and must be structured to fit the recipient organization's architecture.,The data from the marketing firm can be sent to the organization by what?,"['collect', 'sharing', 'process', 'formatted', 'data', 'contain', 'structure', 'datum', 'organization', 'transfer', 'marketing', 'recipient', 'purchase', 'architecture', 'firm', 'simple', 'automate', 'customer', 'send', 'consider', 'file', 'fit']",0.0
42,Exploratory Data Analysis,Performing Exploratory Data Analysis,Data Wrangling,"Outliers,The z-score,Handling Missing Values,Imputation,Omission,Outliers,Transforming Categorical Data,Transforming Quantitative Data,Data Wrangling to Data Exploration","The scikit-learn preprocessing package is widely used by data scientists and analysts for transforming and enriching data. Pandas, Numpy, Matplotlib, and Theano are other libraries in Python that support data cleaning and transformation.",Pandas is a library that is used by data scientists and analysts for what?,"['cleaning', 'preprocessing', 'datum', 'transformation', 'transform', 'learn', 'enrich', 'package', 'scikit', 'analyst', 'support', 'library', 'scientist']",0.6153846153846154
43,Exploratory Data Analysis,Performing Exploratory Data Analysis,Data Wrangling,"Outliers,The z-score,Handling Missing Values,Imputation,Omission,Outliers,Transforming Categorical Data,Transforming Quantitative Data,Data Wrangling to Data Exploration","The box of a box plot contains the central 50% of the distribution, from the lower quartile to the upper quartile. The median is marked by a line drawn within the box. The lines extending from the box are called whiskers. They extend to the maximum and minimum, except for outliers, which are marked separately.",The lines extending from the box are called what?,"['mark', 'maximum', 'call', 'low', 'line', 'contain', 'plot', '%', 'distribution', 'extend', 'draw', 'upper', 'outlier', 'quartile', 'minimum', 'median', 'whisker', 'central', 'box']",0.0
44,Exploratory Data Analysis,Performing Exploratory Data Analysis,Data Wrangling,"Outliers,The z-score,Handling Missing Values,Imputation,Omission,Outliers,Transforming Categorical Data,Transforming Quantitative Data,Data Wrangling to Data Exploration","Box plots provide a visual summary of the data so that data scientists and analysts can identify outliers and other summary statistics, including the skewness and mean.",The data plots provide a visual summary of what?,"['mean', 'skewness', 'provide', 'datum', 'plot', 'identify', 'statistic', 'summary', 'analyst', 'outlier', 'include', 'visual', 'scientist']",0.6666666666666667
