Unit,Module,Title,Text,Subheaders
Advanced Natural Language Processing,[Research Paper] Attention is All You Need,Attention is All You Need,"[REQUIRED READING] Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., ... & Polosukhin, I. (2017). Attention is all you need. Advances in neural information processing systems, 30. [pdf]
The content of this paper is essentially similar to the Language Representation, and Transformers module introduced earlier in the course. However, because this is a foundational work in modern NLP, we have opted to cover it again in this research paper module. Here we will focus more on understanding how the paper was presented to the research community and which areas it contributes to.
The authors are a group of researchers and engineers from Google Brain, Google Research, and the University of Toronto, with expertise in deep learning and natural language understanding. Prior to this paper, they worked on various language research projects related to Googles services, such as language translation, speech tagging, and language inference. Interestingly, the majority of the authors have left their affiliations at the time of this paper to found their own NLP startups.
The paper targets ML researchers and engineers who build large-scale language models. It is pivoting a switch from the RNN/LSTM paradigm to a new transformer architecture that was shown to achieve state-of-the-art performance in language translation.
Since the resurgence of deep learning in 2012, many advances have been made in neural network architectures and methodologies, although they mostly apply to computer vision (e.g., AlexNet, VGGNet, ResNet). There wasnt a similarly impactful innovation for natural language processing - RNNs are designed to handle sequential data but suffer from exploding/vanishing gradients; LSTMs address this issue but require three times more matrix computations. In addition, these recurrent models can only process data sequentially and do not benefit from the powerful parallel processing of modern GPUs. This paper is part of an effort to build new neural architectures that address these issues.
There are two primary innovations from the paper.
Positional Encoding is a novel way of representing word order in a sentence. Given the sentence cI like data science,d an RNN knows that cliked comes after cId because it processes the tokens sequentially and therefore receives cId as input before clike.d Transformers, on the other hand, construct inputs that consist of both the original tokens and their index locations in the sentence, i.e., [(cId, 1), (cliked, 2), (cdatad, 3), (cscienced, 4)]. In addition to learning the embedding of the tokens, they will also learn the encoding of these index locations and, therefore, the importance of word ordering (the paper actually uses fixed formulas for the positional encoding, \\(PE_{(pos, 2i)}\\) and \\(PE_{(pos, 2i+1)}\\), because they were shown to produce similar results to the learned positional embeddings). Note also that this approach enables the parallel processing of all tokens because their ordering within the input sentence has already been represented by the index locations.
Self-attention is a mechanism that relates different positions of a single sequence to compute a representation of this sequence. At a high level, self-attention allows a neural network to understand a word in the context of the other words around it  for example, it may know that cbackd has different meanings in cI came back from workd and in cmy back hurtsd because it attends to the token ccamed in the first sentence and churtsd in the second. While self-attention has been used in prior works in conjunction with recurrent or convolutional neural networks, the innovation of this paper lies in using self-attention alone, without the associated recurrent or convolutional structure, to achieve state-of-the-art results. This is also where the paper title cAttention is all you needd comes from. As an unrelated note, the template cX is all you needd subsequently became popular in the machine learning literature, with a recent paper from CMU that both make use of it and poke fun at it.
The paper proposes the Transformer model architecture (Figure 2) for language translation, whose training procedure can be summarized as follows. Given an input sequence of tokens (e.g., an English sentence) and an output sequence of tokens (e.g., a French sentence):
Step 1: Convert each input sequence token to its vector embedding. Add this vector to the positional encoding vector, i.e., \\(PE_{(pos, 2i)}\\) or \\(PE_{(pos, 2i+1)}\\) to yield the word vector with positional information for each token.
Step 2: Pass the input sequence word vectors into the encoder block, which consists of a multi-headed attention unit and a fully-connected feedforward neural network unit. The attention unit generates an attention vector for every token in the input sequence to represent how much the token is related to other tokens in the same sentence. This process is performed \\(h = 8\\) times with different, learned linear projections to different dimensions. Thus, every input token yields \\(h\\) attention vectors, which are then concatenated to form a single vector (the name multi-headed refers to the fact that multiple vectors are concatenated in this step). These attention vectors are then passed to identical but independent feedforward neural networks in parallel, outputting an encoded vector for every input token.
Step 3 is similar to Step 1 but carried out on the output sequence tokens.
Step 4: Pass the output sequence word vectors into the decoder block, which contains a masked multi-headed attention unit, followed by a multi-headed attention unit and a feedforward unit. The first attention unit generates an attention vector for every token in the output sequence to represent how much the token is related to other tokens before and including it in the same sentence (this is where the term cmaskedd comes from  we mask away the tokens after the current token because those are our prediction goals). These attention vectors for the output tokens, combined with the output of the encoder block, are passed into the second attention unit. This unit generates an attention vector for every token in both the input and output sequence to represent how much the token is related to every other token in both sequences (in other words, this unit relates every input English token to all the other input English tokens and to all the output French tokens).
Step 5: The output from step 4 is fed to a standard linear classifier, represented as a fully connected layer with a softmax activation function. The layer outputs the probability that each word in French is the next output (in other words, this is a multi-class classification problem where the classes are all the French words, and the word with the highest probability value is predicted to be the next output token).
Additionally, batch normalization is applied after every unit to smoothen the data and make it easier to learn with larger learning rates.
During inference, the same process as above applies, but the output sequence is replaced by an empty sequence with only a start-of-sequence token (because this is the prediction goal). The transformer will predict the next token one by one and add each predicted token to the output sequence, so that it can be used as the basis for the next token prediction. This is the same inference technique used by Sequence2Sequence models, except that at each timestep, we use the entire output sequence generated so far, rather than only the most recent prediction.
The above architecture was evaluated in two tasks: English-German translation and English-French translation. Details about the training process and hyperparameters used can be found in Section 5 of the paper. Results from the experiment (Table 2) showed a better BLEU scores than previous state-of-the-art models at a fraction of the training cost.
The paper presents a novel Transformer architecture that significantly improves upon the standard RNN/LSTM variations in both performance and efficiency. Transformers have been extensively used in both natural language processing and computer vision research following the publication of this paper (which has been cited more than 47,000 times, based on Google Scholar). It also led to the release of large-scale pre-trained Transformer models, such as BERT, GPT-3 and T5, which anyone can utilize for their own projects.","Who are the papers' authors? Why are they qualified to write about this topic?,Who is the audience of the paper?,Why is the paper\xe2\x80\x99s topic relevant at the time of its writing?,What is the paper\xe2\x80\x99s contribution? Which research gap is it trying to address?,Summarize the paper\xe2\x80\x99s experiments and findings,What are the implications of the paper\xe2\x80\x99s findings? What can an outsider like us expect to learn from this paper?"
Data Science Project Planning,Design and Plan Overview,Diagrams in Design Document,"It would be helpful to think about what you would like to showcase in your diagrams. The following classifications of diagrams can help you get started.
Modules And Their Relationships - How code is structured
Runtime Components and Connections - How data flow during runtime
Deployment Diagrams - What is Infrastructure for the architecture
You can use these types of diagrams at any layer of abstraction, i.e., you can use these types of diagrams to describe  a high-level view of the system or a sub-system, as is apparent in the exemplar documentation.
These diagrams are useful if you would like to show modules and their relationships with each other. Modules represent a static way of structuring the system. In these diagrams, we do not care much about how the system behaves at runtime.
Modules allow us to answer questions like:
What are the different business functions in your system?
What other modules does each business function depend on?
Are there any external dependencies for each module?
Does any module inherit behavior from another module?
Figure 1. Execution Graph of a Completed Run of the Continuous Training Pipeline (ACAI, MCDS Capstone Project, 2020)
Notice how model dependency is represented in this execution graph, as it is important to this project.
When you want to showcase how a system functions during runtime, you can use Components and Connectors. Each runtime element is related to another element via a Connector, which should be adequately described in your writeup as well as in the legend.
Examples of runtime elements, i.e., components are:
Services
Peers
Clients
Servers
Filter Systems
Examples of connectors also called vehicles of communication are:
Call-return style connector
Data pipelines
Process synchronization operators
These diagrams help us answer the following type of questions:
What are the major components of your system at runtime?
Does the system  have shared data stores? What is the nature of these stores, i.e., are they persistent or transient, etc.?
How does data progress through the system?
Does anything run in parallel?
This is a good example of using components and connectors to provide a high-level view of the flow of data. We can see that connection types have been labeled separately to represent the different types of data transfer that can happen in the system.
Figure 2. A Typical ML Workflow in ACAI (ACAI, MCDS Capstone Project, 2020)
Representing deployment models can be confusing because they look very similar to runtime diagrams.
The important distinction between the two is that deployment diagrams are meant to display the interaction of the solution with non-software structures like CPUs, file systems, networks, development teams, etc.
In a deployment model, you will need to make infrastructural considerations for your solution. Your deployment model will help answer questions like:
What cloud instance type does your solution execute on?
What type of cloud data store are you expected to use?
Who deploys the solution?
What type of queuing system are you expected to use?
In the following example, we know that we have docker containers that interact with a Job Monitor, a Log Server, and a Launcher.
A Job Registry requires the use of an SQL server. In your diagrams, you can be specific about particular SQL servers like MySQL/Postgres if the requirement is clear.
Figure 3. Overview of Execution Engine Architecture (ACAI, MCDS Capstone Project, 2020)",Friendly reminder: Don\xe2\x80\x99t forget to include a legend in your diagrams. It greatly increases the readability of your diagrams and helps with communication.
Model Evaluation,Metrics and Interpretation,Module 19 Summary,This is a new page with empty contents.,
Problem Identification and Solution Vision,Distilling the Analytic Objective,Module 2 Summary,"This module focused on formulating the analytic objective, which is also considered a research hypothesis because it effectively posits that a certain technique improves a metric with regard to a population of problem instances.
A well-framed analytic objective will include the following elements:
Understanding the business objective,
Identifying the problem,
Focusing on a well-defined task,
Checking the proposed method against the target insight
Proposing data collection and curation methods, and
Framing the analytic objective.
Analytic objectives can be reframed to focus on specific tasks, in which case an incremental step would become the primary goal.
An analytic objective should state what specific functionality, insight, or resource is gained from leveraging that data and methods you propose, relative to the current situation, and assuming the project is successful as proposed.",
Advanced Natural Language Processing,Language Representation and Transformers,Module 24 Summary,This is a new page with empty contents.,
Model Evaluation,[Research Paper] Manipulating and Measuring Model Interpretability,Quiz 7,,
Collecting and Understanding Data,Data Collection,Module 7 Summary,"Data collection is the process of gathering and organizing data that can meet defined business and analytic objectives. Data collection also consists of attending to issues of validity, reliability, and ethics, such as provisions for informed consent from participants.
Data scientists need to develop a sound study design for execution while ensuring the validity and integrity of the inference. There is a range of study design options, from an exploratory analysis of data that is organically available to highly planned efforts. The manner in which data is collected is arguably more important than the availability of that data itself.
Validity is the development of sound evidence to demonstrate the intended test interpretation.  In an observational study, the threat to validity concerns whether the observed changes can be attributed to the exposure or intervention and not to other causes and whether we can generalize that exposure more universally causes the outcomes.
Threats to internal validity are problems in drawing correct inferences about whether the covariation between the presumed treatment variable and the outcome reflects a causal relationship.
Threats to external validity are problems that threaten our ability to draw correct inferences from the sample data to other persons, settings, treatment variables, and measures.
Statistical bias results from violations of external validity or internal validity of a study. Common statistical biases that you need to be aware of and take into account during the data understanding process are:
Selection Bias: a threat to internal validity occurs when there is a mismatch between the data selected for the study and the subject matter that the data scientist wants to make inferences about.
Self-selection Bias: If the response rate of a survey is not perfect, it is likely that certain characteristics of those individuals are related to the reason why they responded to the survey.
Confirmation Bias: This type of bias occurs when we favor evidence that confirms our personal beliefs, values, and hypotheses.
Information Bias: The data collected has a misclassification bias and is not accurate. One way to control information bias is to implement blinding.
Confounding Bias: occurs when incorrect inferences are made about the subject matter while failing to account for a potentially confounding variable.",
Collecting and Understanding Data,Data Structures and Algorithms,Module 9 Summary,"Functionality is the most vital characteristic of an abstract data type that every user must understand. It is often communicated via an API that specifies the operations and input-output data for each API call, as well as a description of the function that the call delivers.
A specific concrete data structure can be used to implement multiple abstract data sets. For example, a pair of real numbers as a concrete structure can implement two-dimensional vectors in a cartesian vector space where the two numbers represent the components of a vector along the x and y axes. Operations such as vector addition or the dot product of two vectors can be then implemented using this representation.
Concrete data structures are used to implement abstract data types correctly, but this implementation determines the cost of the abstract data.
Asymptotic analysis is the study of how an algorithm grows as a function of the size of the input data to the algorithm. The basic idea is to model how the growth rate of two functions compares to large input. When analyzing an algorithm, we build a mathematical model of how the number of steps the algorithm executes depends on the size of the input.
Big-O Notation: We say a function f(n) is O(g(n) if there are positive constants c and n0 such that for n  n0 f(n)  cg(n). That is, beyond n0, f(n) grows at most as fast as c  g(n). That is, c  g(n) always dominates f(n) in growth.
It is important to understand how the time and memory cost grow with the size of the input, i.e., the time and space complexity for an algorithm. There is often a trade-off between runtime and space complexity, which typically comes in the form of storing intermediate values (using more space) to avoid re-computing them (reducing runtime).
Learning to use the right data structure for different use cases is an essential skill for writing efficient programs and building complex applications.
An algorithm represents data and relations between data items using a variety of abstract data types. Some of the most commonly used abstract data types include Sequences, Sets, Tables, Graphs, Trees, and Priority Queues.",
Analytic Algorithms and Model Building,Text Data & Natural Language Processing,Converting Text Data into Numerical Features,"Textual data cannot be used directly as model inputs as models typically require numerically represented features. Applying the text processing tasks mentioned in the previous section helps streamline textual data into a form that can be easily constructed to numerical features using any one of the methods, like bag-of-words, term frequency, word embeddings, etc., based on the use-case.
Bag-of-Words is a primitive feature construction method that can be employed for simple problems to obtain quick results. It translates the entire text corpus into a vector with word counts.  It also assumes that the vocabulary is fixed and the size of the vocabulary determines the size of the vector, with each entry in the vector representing how many times a word occurs in the document.  Since only a small number of the words in a vocabulary would be used in a document, such a representation would be very sparse, with many of the entries in the vectors being 0.
Instead of representing the entire corpus as a one-dimensional list of numbers indicating word counts, term frequency takes into account the word frequencies for each member document in the corpus.
Consider the corpus = [ cJack ate an appled, can apple on the tabled, cJack likes the appled ]
Bag-of-words will create a one-dimensional vector for this entire corpus:
Jack
ate
an
apple
on
the
table
likes
2
2
2
3
2
2
1
1
However, the term-frequency matrix will have a row corresponding to each of the three documents:
Jack
ate
an
apple
on
the
table
likes
Document #1
1
1
1
1
0
0
0
0
Document #2
0
0
1
1
1
1
1
0
Document #3
1
0
0
1
0
1
0
1
Term-frequency Inverse-Document Frequency (tf-idf) treats frequency counts for each document of a corpus distinctly like in Term Frequency (Tf). The Tf method discussed earlier assigns an importance value to all the words purely based on their frequency. Hence, features corresponding to words that appear more frequently, like stopwords, get assigned a large value in comparison to words that could potentially warrant higher importance in the corpus. Therefore, tf-idf is a way to cnormalized these high-frequency values. In tf-idf, for any word not in the corpus, we can either ignore it or consider its frequency under another/foreign word column.
Each word has an inverse document frequency associated with it. Hence,
\\[IDF_{j}=log(\\frac{\ext{number of documents}}{\ext{number of documents with the word j}})\\]
Intuitively, the IDF of a word that appears in fewer documents is higher. (Now, using the above formula, what is the IDF of a word that appears in every document? What could be the highest IDF value a word could get?)
Finally, tf-idf for a word j in document i is calculated by multiplying the IDF score for word along j with the Tf for word j in document i :
\\[ TF - ID_{ij}= TF_{i}\imes IDF_{j} \\]
All the above feature construction methods are easy to visualize and understand. However, it represents individual words as dimensions and thus tends to suffer from the curse of dimensionality. Word embeddings are representations of words in a meaningful low-dimensional space whose dimensionality is a fixed number independent of the word count in the corpus. Intuitively, Words that are placed closer in this space are expected to be similar in meaning. For instance, the position of cSeattled is closer to cBostond than it is to ctalkd in the below illustration of word embeddings.
Figure 1. Word Embeddings (Source: IBM Research Blog)
As discussed in an earlier module, word embeddings can be generated by training a model from scratch or through pre-trained models like BERT (introduced later in the course), which brings down the training time significantly. Due to the advantages of word embeddings over other methods in capturing context and minimizing memory used for feature representation, it is increasingly used for deep learning and advanced NLP tasks, some of which will be discussed in the next section.","1. Bag-of-Words,2. Term-Frequency,3. Term-Frequency: Inverse-Document Frequency,4. Word Embeddings"
Data Science Project Planning,Developing a Vision,The Vision Document,"The important components of a vision document are described as follows:
Problem Description. First, you need to determine the real-world problem that you are trying to address. You should also look into the literature to identify existing solutions and their limitations. Your goal is to propose an improvement to these solutions in some ways so as to yield tangible social or business impacts.
Proposed Solution. Next, come up with an overarching framework for your solution. An example solution formulation could be cA framework that supports a declarative description of a configuration space and automatically evaluates all the options, finding the best given some measure and labeled dataset.d Compare your solution with the existing solutions identified previously. What makes your solution better?
Scientific Hypotheses. Now you need to formalize the scientific hypotheses underlying your proposed solution. Keep in mind that hypotheses need to be testable assumptions. For example, if you make the assumption that the majority of your users are teenagers, but your platform doesnt collect users ages, then your assumption is not testable. Then, develop a plan to validate your hypothesis as you develop your solution. With respect to a technical data science solution, you can formulate your hypothesis along with one of the following themes:
cConstructived: It is possible to build such a framework.
cFormatived: The proposed solution is cfast /good enoughd
cEmpiricald: The proposed solution will significantly outperform the state-of-the-art baseline measured by a certain metric.
Major Features. For the next step, you should describe in more specific terms how the system features you plan to implement form the proposed solution to the problem (e.g., a list of major features or components of your solution). This is really important from a ""traceability"" perspective as it's easy to miss major features as you dive deeper into the project. Here are the important requirements for the proposed features:
Features should not be technical constraints. For example, cthe system will use an Amazon AWS load balancer to manage trafficd is a bad example, while cthe system will use a cloud-based load balancer to manage trafficd is a good example.
Features should be distinct in the sense that no two features should overlap.
Features should be traceable, with a unique name or identifier, so that they can be traced across different documents and project stages.
Scope. At this point, you will want to outline the boundaries of your project, with a focus on what will be delivered at the end of the project timeline. If there is something your project will specifically not do, you should note it here. For example, be clear about how much (or how little) data will be covered, whether your solution will meet certain run-time requirements in terms of responsiveness, whether your solution will be deployed as a web service or application or exist only as a code repository/Jupyter notebook, etc.",
Collecting and Understanding Data,Data Structures and Algorithms,Asymptotic Complexity,"Above, we alluded to concepts such as the time an operation takes or the memory a data structure requires. When we design an algorithm to solve a specific problem, such as sorting a set of numbers, we consider the best algorithm in terms of the time it takes to solve an instance of the problem, along with the maximum memory during execution that the algorithm will need.
In general, time depends on various specific aspects of the hardware we eventually execute the algorithm on. Thus, time depends on hardware parameters such as the clock speed of the CPU (e.g., 3.5 GHz), the speed of the memory interface along with the number and sizes of cache memory, and the speeds of other hardware units, such as GPUs, etc. This makes it hard to compare specific implementations of algorithms on different CPUs and is actually a very tedious and possibly intractable effort.
Instead, theoretical computer science has developed simple but effective mathematical tools to compare algorithms in terms of the number of relevant steps they execute as a function of the size of the input data to the algorithm. These tools are based on what is called asymptotic analysis.
The basic idea in the asymptotic analysis is to model how the growth rate of two functions compares to large input. In particular, as we increase the numeric argument of both functions to infinity, how do the functions behave? Does one grow faster, equally as fast, or slower than the other? In this comparison, we ignore what happens for small input values or any other constant factors (such as the speed of the underlying hardware).
The most important tool is based on the big-O notation. We say a function \\(f(n)\\) is \\(O(g(n)\\) if there is are positive constants \\(c\\) and \\(n_0\\) such that for \\(n \\geq n_0\\) \\(f(n) \\leq c\\cdot g(n)\\). That is, beyond \\(n_0\\), \\(f(n)\\) grows at most as fast as \\(c\\cdot g(n)\\), that is, \\(c\\cdot g(n)\\) always dominates \\(f(n)\\) in growth, as shown below.
So when analyzing an algorithm, we build a usually mathematical model of how the number of steps the algorithm executes depends on the size of the input. Based on the definition above, we express the number of steps with a function \\(f(n)\\), which captures the size of the \\(n\\). We then try to find the function \\(g(n)\\) such that \\(f(n)\\) is \\(O(g(n)\\).
Let's give a very simple example to explain this. Suppose we have an unsorted array of \\(n\\) integers, and we want to search if a given integer \\(x\\) appears in the array or not. A simple algorithm for this would a simple loop that searches if the next entry in the array is equal to \\(x\\). So in the worst case, we will need to look at each of the \\(n\\) integers until we know what the result is. Assume of these steps take, say, 3 operations; our function \\(f(n)\\) will be \\(3n\\). Now with the choice of \\(c=4\\) and \\(n_0 = 0\\) you can easily convince that \\(f(n)\\) is \\(O(n)\\). That is, the number of steps of our algorithm grows linearly as \\(n\\). While this is a very simple example, not every algorithm analysis will be simple as that. You can try and come up with an algorithm that searches \\(x\\) in a sorted array whose number of steps \\(f(n)\\) is \\(O(\\log n)\\). So ignoring the cost of initial sorting (which can be amortized over many searches if necessary), you can see that this latter algorithm uses much less time than the former one, as the function \\(\\log n\\) grows much much slower than the function \\(n\\).
The following are some additional important concepts regarding asymptotic analysis:
Upper bound is the asymptotically maximum time that a given algorithm needs for all inputs of size \\(n\\). Algorithms have upper bounds. For example, we say, ""mergesort has an upper bound time complexity of \\(f(n) = c_1 n \\log n\\)"" or ""selection sort has an upper bound time complexity of \\(f(n) = c_2 n^2\\)"".
Lower bound is the minimum asymptotically the minimum time that any algorithm for a problem needs for all inputs of size \\(n\\). For example, it can be shown that no sorting algorithm that works by comparing elements can take less than \\(c_3n \\log n\\) steps.
For more details on asymptotic analysis one can refer to any book on algorithm analysis, or to https://en.wikipedia.org/wiki/Asymptotic_analysis",
Collecting and Understanding Data,Ethics of Data Science,What is Data Science Ethics?,"As we practice data science, it is important that we do so with an ethical framework in mind. There are many ways we can cause unintended negative consequences through our work as data scientists if we blindly focus on the techniques we learn without considering their consequences. In this module, we will talk about how we could potentially make mistakes and how we can avoid making these mistakes.
Lets start with a simple definition of ethics. Ethics are rules that we, as fellow citizens, voluntarily follow because we believe they make the world a better place. Ethics guide us to distinguish right from wrong and are at the bedrock of human civilization.
Consider this simple example: Ethics stop you from shoplifting. There may be other things that could stop you from shoplifting, such as the possibility of being caught by the store owner,  but ethics would stop you even if there is no one in the store to catch you. What stops you is the fundamental principle of what you think is right. Ethics are the shared values of the society that compel us to think about how we want to be treated, which then translates into how we treat others.
Ethics are distinct from the law. Consider an example where you tell a friend a secret, and the friend promises not to tell anyone else. The friend then breaks that promise and spreads your story. The friend may not have broken any law and is unlikely to face any legal consequences. Nonetheless, we can agree that the friends behavior is unethical because it is a common principle of human relationships and interactions to keep ones promises, especially to ones own friends.
Ethics are not laws, but laws often follow the shared social values of ethics. Laws are created and enforced to ensure these common social values. However, despite having generally agreed upon shared values, not everyone will act in accordance with those values, either because they dont share them or because theyve justified to themselves in some way that theyre not truly violating them. For example, just because we have a shared principle saying it is wrong to shoplift doesnt mean there are no shoplifters in society. It merely means that we all have agreed that stealing is wrong as a society and can therefore pass legislation that punishes thieves. These laws are then enforced by our criminal justice system, which also determines the punishments for those who violate them.
One practical way to think about the benefit of ethics is through the lens of economics. In general, society as a whole does best when individuals maximize their own private returns. This is the fundamental principle of a modern free-market economy. However, there are situations where we see that the results of collective actions from individuals under the name of maximizing private benefits are a detriment to society.
When individuals act in their own interest while collectively accessing a public resource (called a commons), it is likely they will ultimately deplete or otherwise corrupt that resource. This situation is known as the tragedy of the commons, a term used for the first time by Garret Hardin in 1968 and published in Science Magazine (requires CMU credentials to access). The tragedy of the commons stresses that cthe population problem has no technical solution; it requires a fundamental extension in morality,d in which cpopulationd refers to members of society and cextension in moralityd refers to ethical principles. It explains individuals tendency to make decisions based on selfish needs that sometimes lead them to ignore the best interests of the group as a whole of which they are a part themselves.
In 2009, Elinor Ostrom became the first woman to be awarded the Nobel Memorial Prize in Economic Sciences for revisiting the tragedy of the commons and her work on governing the commons (requires CMU credentials to access). She showed cases where such ctragedyd was not inevitable and that if humans cooperated with one another and monitored and enforced rules to manage the commons, then the ctragedyd could be avoided.
Now that weve learned about what ethics are and how together we can avoid unintended negative consequences from selfish and unethical practices, in the subsequent modules, we will link this with data science and demonstrate the core values of ethical data science practices to motivate the discussion of how data scientists can apply ethical principles.",
Analytic Algorithms and Model Building,Supervised and Unsupersived Techniques,Module 14 Summary,This is a new page with empty contents.,
Deep Learning and Model Deployment,Deep Learning & Computer Vision,Computer Vision Applications,"Jitendra Malik, a computer vision pioneer, proposed the 'Three R's' as the classic problems of computational vision: reconstruction, recognition, and (re)organization. You might have come across many computer vision applications in your daily life, which are most likely attempts to solve one of the three Rs. In this section, we brief a few common applications of computer vision.
Optical character recognition (OCR)
Figure 4. LeNet 5.
Optical character recognition or optical character reader (OCR) is a technology to convert images of text into actual text. The text images can be typed, handwritten, or printed into machine-encoded text such as a scanned document, a photo of a document, or an image that contains the text. Figure 4 shows the results of probably the first OCR task, LeNet. OCR is a commonly used method to digitalize printed text to reduce storage size and enable editability and searchability.
Object Recognition
Object recognition is a computer vision technique for identifying objects in images or videos. It might be relatively easy for a human to look at a photograph or watch a video and spot people, objects, scenes, and visual details. However, it is not as straightforward for a computer not only to recognize the items but also to understand what the items mean to the level of understanding of a human. Object recognition is a key technology behind driverless cars (Figure 5), enabling them to recognize a stop sign or to distinguish a pedestrian from a lamp post. It is also valuable for disease identification in biological imaging, industrial inspection, and robotic vision applications, just to name a few.
Figure 5. Object recognition technology from Teslas Autopilot and full self-driving capabilities.
Face Recognition
Figure 6. Apples Face ID.
Facial recognition is a specific case of object detection where the primary object is a human face. While similar to object detection as a task, where features are detected and localized, facial recognition performs not only detection but also recognition of the detected face. Facial recognition systems search for standard features and landmarks like eyes, lips, or a nose and classify a face using these features and the positioning of these items. The facial recognition system is used as an ID verification process to authenticate users for security purposes, such as Apple's Face ID (Figure 6), Clear airport security service, and the United States driver's license photo database.
Image augmentation applications on various social media services, such as Snapchat, use an algorithm to detect faces and perform augmentation to swap faces in an image for entertainment (Figure 7).
Figure 7. Snapchats Face Swap.
Vision-based Biometrics
Figure 8. Sharbat Gula, photographed in 1984 and 2002.
Sharbat Gula, one of the students in an informal school at the Nasir Bagh refugee camp in Afghanistan, was identified 18 years later from a photograph taken in 1984 when she was 12, using an analysis of her iris pattern image (Figure 8). Daugman (2004) computed IrisCodes from both of her eyes from the photograph in 1984 and 2002, respectively, and matched them using a Hamming Distance to confirm that the images are of the same person. You can read more about the story here.",
Exploratory Data Analysis,Feature Engineering,Feature Engineering,"Feature engineering is the process of using domain knowledge to extract features from raw data. Algorithms need specific features in the model development process. Feature engineering will ensure your dataset is compatible with your algorithm, thereby improving model performance. So far, we have highlighted the specialized nature of feature engineering and that there is no one suitable solution. However, there are foundational concepts that are essential to your understanding of feature engineering.
Figure 1. Mapping Raw Data to ML Features. (Source: Google Developer Course)
Do you remember this concept from an earlier module? It is useful during the data wrangling process as you cleanse your data and is equally used in feature engineering. Missing values in a dataset can negatively affect the performance of a model. Missing values can be caused by simple human errors, and privacy concerns, among others. How can we fix the problem of missing values? A simple but problematic solution is dropping rows or columns. A preferable solution is an imputation. It would help if you considered a default value for missing values in a row or column. Let us visit how you handle this with numeric and categorical data.
Numerical Data Imputation. If you are not dropping rows and columns with missing data, the numerical imputation method will allow you to replace missing values intuitively. For example, a column with numbers and some with "" - "" or ""NA"" can be replaced with a ""0"". Other methods used include using the median or mean values of that variable.
Categorical Data imputation. In some cases, replacing missing values with a zero will not make sense to the dataset. You can replace values in a categorical column with the cmost frequently  occurring value,d and you can impute cotherd in a situation where there is no dominant value in the categorical column.
Similar to imputation, binning can be applied to numerical and categorical data. Binning makes a model more robust, but there is a trade-off between performance and overfitting. Binning categorical data will have less of a negative effect on model performance than when binning is performed on numerical data. It is also used to capture noisy data when you have values that have variance.
In the context of image processing, binning is the procedure of combining a cluster of pixels into a single pixel. As such, in 2x2 binning, an array of 4 pixels becomes a single larger pixel, reducing the overall number of pixels.
You learned about how to visualize your data to detect outliers in an earlier module. This method is less error-prone. You can use some statistical and visualization methods to detect and handle outliers, including computing the z-score, using percentiles, and visualizing the data distribution of your dataset. These techniques were discussed in the ""Exploratory Data Analysis"" module.
Log transform, also known as logarithm transform, is used to handle skewed data and make the distribution of data less skewed. It is widely used because of its ease of use, and it decreases the effect of outliers in a dataset. Log transform is not usually applied to values that are less than or equal to zero.
One hot encoding is a process by which categorical variables are converted into a form that could be provided to a machine learning algorithm to make accurate predictions. This technique replaces categorical variables with different Boolean variables that indicate whether or not a category of the variable is part of the observation. Those Boolean variables are called dummy variables.
One hot encoding is easy to implement; it will retain all information of the categorical variable. This method does not add information that can make a variable more predictive.
Assume that a categorical variable education with labels less than high school and high school. We can generate the Boolean variable chigh school,d which becomes one if the person has high school or 0 if the person has less than high school.
When you have a variable with multiple categories, one-hot encoding might increase the dimensionality of your data. The binary encoding method can be used to create a smaller number of variables without losing information.
When you have ordinal data that is useful to your analytic solution, you can transform those features using ordinal encoding. Here we convert string labels to integer values. If you have an ordinal variable with string values that are satisfied, dissatisfied, highly satisfied, highly dissatisfied, not applicable, and somewhat satisfied, ordinal feature encoding will map the values to a corresponding integer. As you can see in the table below, all values are not integers.
Highly Satisfied
1
Satisfied
2
Somewhat Satisfied
3
Not Applicable
4
Dissatisfied
5
Highly Dissatisfied
6
When you split features, the features become easier to bin, and this improves model performance. There are many ways of splitting features, and it depends on the variable. If your dataset contains the variable address, you might split the column by extracting the street address, city, state, and postal code. You run the risk of increasing dimensions; in this case, we employ techniques that assess the value of the extracted dimensions.
Some machine learning algorithms need to have scaled continuous features as model inputs. Scaling is not necessary for most algorithms, but it can make continuous features identical with respect to range.
There are instances that require the use of scaled data, including algorithms that use gradient descent
Neural Networks and Linear Regression are some of those examples. The data is scaled before being fed to the model. Algorithms like k-Nearest Neighbors, clustering analysis like k-means clustering, and other distance-based algorithms would need data that is scaled.
Quick thought: How about tree-based algorithms like decision trees and random forests? They are not affected as they are not distance-based.
Normalization. This technique involves values ranging between 0 and 1. Prior to normalization, all outliers in the dataset should be handled.
Standardization. Also known as z-score normalization, it is useful for feature engineering in logistic regression, artificial neural networks, and support vector machine tasks.
Reading: Data Preprocessing in scikit-learn.","Importance of Feature Engineering,Feature Engineering Techniques,Imputation,Binning,Handling Outliers,Log Transform,Categorical Encoding,One hot encoding,Binary Feature Encoding,Ordinal Feature Encoding,Feature Split,Scaling,An optimization algorithm used to minimize some functions by iteratively moving in the direction of the steepest descent as defined by the negative of the gradient. In machine learning, we use gradient descent to update the parameters of our model."
