question,gramatical_accuracy,ambiguous_or_unclear,gratuitous_information,pedagogical_value,covers_key_concept,concept_covered,question_grade
 - What are the components of system requirements in the context of software development?,1,1,1,0,1,"System and User Requirements: Detailed description of the system and its operational and development constraints, as well as functions or tasks that a user must perform within the system.",0
 Why is the k-NN method considered a similarity function?,1,0,0,1,1,"The concept most closely related to the question ""Why is the k-NN method considered a similarity function?"" is the Similarity function. This concept highlights that the k-NN method is viewed as a similarity function because it classifies a new observation based on the classes of its closest neighbors. In other words, it determines how similar (or dissimilar) the new piece of data is to existing data before making a predictive decision. Hence, the k-NN method is fundamentally grounded on the principle of",1
. How is the BIC score calculated?,1,1,1,1,0,"The concept most closely related to the question ""How is the BIC score calculated?"" is BIC (Bayesian Information Criterion).",2
 Semi-supervised training: Why is semi-supervised training used in the first step of BERT training?,1,1,1,1,1,"Semi-supervised training: Semi-supervised training is used in the first step of BERT training because it allows the model to learn from a large amount of unlabeled data and a small amount of labeled data. It helps in learning contextual relations between words (or sub-words) in a text. This type of training process can provide a better understanding of the language by utilizing extensive and diverse text information which is not fully annotated. Moreover, using semi-supervised training can significantly reduce the demand for",2
 What is the role of inference in model selection?,1,1,1,1,1,The concept most closely related to this question is Model Selection for Inference.,2
. What is meant by general language understanding in the context of BERT training?,1,1,1,1,1,"General language understanding is most closely related to the question. In the context of BERT training, this concept refers to the base capability of the BERT model in understanding and capturing the context of language. It involves understanding the semantics, syntactics, and other linguistic nuances of an input sequence of words. The general language understanding is achieved during the pre-training process where BERT model learns to predict masked words and the relationships between sentences. This allows BERT to effectively process and understand a broad range of language",2
. What is the role of the context vector in Sequence2Sequence models?,1,1,1,1,1,"The concept most closely related to this question is the Context vector. In Sequence2Sequence models, the context vector plays a crucial role in transferring information from the encoder to the decoder. It is produced by the encoder part of the model after reading and processing the source sentence. This vector is assumed to encapsulate the complete meaning or context of the source sentence in a fixed-length vector, and it becomes the initial hidden state of the decoder part of the model, hence helping in generating the target sentence. It",2
 Why is there no train-test split in inference models?,1,1,0,1,0,"Inference is the concept most closely related to the question ""Why is there no train-test split in inference models?"" In statistical modeling, inference refers to the process of using data analysis to deduce the properties of an underlying probability distribution. It's about gaining insights from the model and drawing conclusions about the population based on a dataset. Inference models are more focused on understanding the data and the relationships between variables, rather than making predictions for new data as in predictive models. Therefore, the concept of train",2
 How does model selection with hyperparameter tuning differ from regular model selection?,1,1,0,1,1,"Model Selection with Hyperparameter Tuning: This differs from the regular model selection in several ways. First, the input adds a hyperparameter space S, that brings more variability and complexity, as each model Mi will now have a range of variations defined by the hyperparameters. Second, the procedure becomes more complex, as it has an additional step where the best hyperparameters are chosen based on their performance on a validation subset. After that, a new model is trained using these best hyperparameters, on the",2
 Why is the first step in gathering information to identify the stakeholders within the business?,1,0,0,1,1,"The concept most closely related to the question ""Why is the first step in gathering information to identify the stakeholders within the business?"" is: The first step in gathering information is to identify the stakeholders within the business.",1
 Data preprocessing: How is data prepared for use during the EDA process and beyond?,1,1,0,1,1,"The concept most closely related to the question ""Data preprocessing: How is data prepared for use during the EDA process and beyond?"" is Data preprocessing: Preparing data for use during the EDA process and beyond.",2
 Why is Naive Bayes not considered the go-to algorithm for estimating the probability of an observation's class?,1,1,0,1,1,"Naive Bayes is not considered the go-to algorithm for estimating the probability of an observation's class as it is biased in its results. Despite its simplicity and effectiveness in certain scenarios, it operates under the assumption that features are independent of each other which is not always the case in real-world applications. This naive assumption can lead to incorrect classifications and skewed results, making it not always the first choice for such tasks.",1
 Discrimination: How can data science be discriminatory due to the nature of making predictions and classifications?,1,1,1,1,1,"The concept most closely related to the question ""Discrimination: How can data science be discriminatory due to the nature of making predictions and classifications?"" is Discrimination: Data science can be discriminatory due to the nature of making predictions and classifications, which can be skewed towards certain groups.",2
. What is the role of high-level components in a system architecture?,1,1,1,1,0,High-level components,1
. Misclassification rate: How is the misclassification rate calculated?,1,1,1,1,1,"Misclassification rate: It is calculated as the number of incorrect predictions divided by the total number of predictions. In other words, it is the proportion of observations that are classified incorrectly by the model. This can include both false positives (where the model incorrectly predicted the positive class) and false negatives (where the model incorrectly predicted the negative class). The lower the misclassification rate, the better the model’s performance. It's one of the metrics used to evaluate the performance of classification models. A misclassification",1
 How does inference help in making predictions based on data?,1,0,0,1,0,Inference: Making predictions based on the data.,2
. What is the role of frequentist statistics in model selection for inference?,1,1,1,1,0,"The concept most closely related to the question ""What is the role of frequentist statistics in model selection for inference?"" is Model Selection for Inference.",2
. How is the AIC score calculated?,1,1,1,1,0,"The concept most closely related to the question ""How is the AIC score calculated?"" is Akaike Information Criterion (AIC).",2
 Why are Long Short-Term Memory (LSTM) Networks introduced in RNN architectures?,1,1,1,1,1,"Long Short-Term Memory (LSTM) Networks: These were introduced in RNN architectures to address the vanishing and exploding gradient problems. LSTMs introduce a memory cell that is capable of retaining values for either a short or a long duration of time. This enables them to model longer-term dependencies in sequence data more effectively than standard RNNs. The LSTM architecture includes input, forget, and output gates which handle the flow of data into, out of, and within the memory cell. This",2
 What is the role of a labeled dataset in the fine-tuning process of BERT training?,1,1,1,1,1,"The concept most closely related to the question is Labeled dataset. A labeled dataset in the fine-tuning process of BERT training has a crucial role. Once the pre-training process of BERT is complete, the model is further trained on a specific task using a labeled dataset. This fine-tuning process equips BERT to adapt to the specificity of the task. The labeled dataset provides the correct answers or ""labels"" for the model to compare its predictions against and thus learn from its mistakes.",2
. What is the role of output embedding in the prediction of masked words in BERT's pre-training process?,1,1,1,1,1,Output embedding is the concept most closely related to this question.,2
. How does secondary data sources differ from primary data sources?,1,1,1,1,1,"The concept most closely related to the question ""How does secondary data sources differ from primary data sources?"" is Primary data sources: Data collected and processed by an organization, and Secondary data sources: Data gathered from sources external to an organization.",2
" Why is it important to document ""complete"" requirements that capture the needs of the stakeholders?",1,1,1,1,1,"The concept most closely related to the question, ""Why is it important to document ""complete"" requirements that capture the needs of the stakeholders?"" is ""It is important to document ""complete"" requirements that capture the needs of the stakeholders."" This refers to the necessity of fully understanding and recording the needs and expectations of all stakeholders involved in a data science project. This documentation ensures that the final solution will satisfy all relevant parties and meet the stated objectives.",1
 What does transparency involve in the context of data science?,1,1,1,1,1,"The concept most closely related to the question ""What does transparency involve in the context of data science?"" is: Transparency involves disclosing human involvement, data sources, algorithms, and the presence of AI solutions.",1
 Why is the attention mechanism important in Sequence2Sequence models?,1,1,1,1,1,"Attention mechanism is most closely related to this question. It is important in Sequence2Sequence models because it allows the model to focus on different parts of the input sequence for each step in the output sequence, enhancing the model’s ability to handle long sequences. By using this mechanism, the model doesn't have to rely on the last hidden state of the encoder to decode, instead, it can use weighted context which results in better performance and more accurate translations or predictions.",2
. How does BERT go about predicting masked words in its pre-training process?,1,1,1,1,1,Masked Language Modeling (MLM),2
 When is Bayesian Inference applied in the context of the Bayes theorem?,1,1,0,1,1,Bayesian Inference is applied when the Bayes theorem seeks to update the probability for a hypothesis as more information becomes available.,2
 - How do business requirements influence the proposed changes in a business?,1,1,1,0,1,"The concept most closely related to the question ""How do business requirements influence the proposed changes in a business?"" is Business Requirements. This concept describes the context, scope, and background of a business need, including reasons for proposed changes. Understanding business requirements is crucial for driving changes in a business as it helps in identifying the areas of improvement, new features or processes that need to be introduced, and how these changes will benefit the organization. This in turn influences the nature and direction of the proposed changes.",0
9. What is the role of variable importance measures in explaining black box models?,1,1,1,1,1,Variable importance measures: The use of variable importance measures to explain black box models better.,2
". Iterative process: When is the data understanding phase, including data wrangling, repeated in the data science lifecycle?",1,1,1,1,1,"Iterative process: The data understanding phase, including data wrangling, is repeated in the data science lifecycle when new data is sourced or when the requirements of an analysis change. Reiteration may involved refining of the collection process, transformation and preprocessing of data as well. This process is crucial to ensure that the data being used in the analysis is the most accurate and relevant i.e., matches the scope of the project, thereby making the overall results of data analysis more reliable and effective.",2
. Predicting masked words: How does BERT predict the original value of masked words?,1,1,1,1,1,"Masked Language Modeling (MLM) is most closely related to the question. In BERT's MLM, during pre-training, some percentage of the input words are masked at random and then predict those masked words, based on the context provided by the other, non-masked, words in the sequence. The objective is to minimize the difference between the predicted probability distribution of the [MASK] tokens and the true distribution. This is how BERT predicts the original value of masked words.",2
 Average Linkage Method: Why might one choose to use the Average Linkage Method over the Single or Complete Linkage Methods in Hierarchical Clustering?,1,1,1,1,1,"The concept most closely related to the question is Hierarchical Clustering. This is because the Average, Single and Complete Linkage Methods are all types of strategies used within Hierarchical Clustering to determine the distance between clusters. The choice to use one method over the other would depend on the specific requirements of the clustering task at hand.",2
. How can hardware and software gaps affect the implementation of a data-driven solution?,1,1,1,1,0,"The concept most closely related to the question ""How can hardware and software gaps affect the implementation of a data-driven solution?"" is Hardware and software gaps.",2
". System and User Requirements: 
   - Why is it necessary to identify stakeholders and systems that support the business requirement(s)?",1,1,0,1,1,"System and User Requirements: It is necessary to identify stakeholders and systems that support the business requirement(s) because they are critical elements in the development and implementation plan. Stakeholders often have essential insights into the business needs and the systems used. Understanding their needs and requirements will ensure that the new system will reflect the operational needs and preferences of its users. Knowing the system requirements helps in building a system that is efficient, effective, and user-friendly. In addition, it enables a better alignment of the system functionalities",1
 Supervised learning techniques: How do supervised learning techniques predict outcomes?,1,0,1,1,1,"Supervised learning techniques: In supervised learning, the model is trained on a labeled dataset. This is a dataset in which each data point consists of a set of features and a corresponding output value, also known as the label. These features, which can be either numerical or categorical, describe the data points, and the output value is what the model should ideally be able to predict for a given data point. The process of training involves feeding these data points into the model and adjusting the model's parameters to",2
 When should team members be assigned to specific tasks in a project?,1,0,0,0,0,Human resources,0
. What does K_h represent in the AIC formula?,1,1,1,1,0,"The concept ""K_h"" is most closely related to the question: What does K_h represent in the AIC formula?",1
 Compatibility: What might cause tools used in data science to not be compatible with accelerators like DSAs and GPUs?,1,1,1,1,1,"The concept most closely related to this question is ""Compatibility: Tools used in data science might not be compatible with accelerators like DSAs and GPUs.""",2
 What are the phases included in the data science lifecycle?,1,1,1,1,1,"The concept most closely related to the question ""What are the phases included in the data science lifecycle?"" is: The data science lifecycle includes phases such as business understanding, data acquisition, data preparation, data exploration and cleaning, modeling, feature engineering, model training, model evaluation, and deployment.",2
 What is the output of the model selection process?,1,0,1,1,1,"Output: The output is the model Mj with the best performance on the test set. In the case of model selection with hyperparameter tuning, the output also includes the associated best hyperparameters.",1
 Who are the stakeholders involved in the development of a data-driven solution?,1,0,1,1,0,"The concept most closely related to this question is ""Stakeholders,"" as it specifically interrogates who the interested or affected parties are in the development of a data-driven solution.",2
. When does sign-off from the client indicate that the requirements have been approved and agreed upon?,1,0,1,0,1,"The concept most closely related to the question ""When does sign-off from the client indicate that the requirements have been approved and agreed upon?"" is: ""Sign-off from the client indicates that the requirements have been approved and agreed upon.""",0
 Why does model complexity need to be penalized in model selection for inference?,1,1,1,1,1,"The concept most closely related to this question is ""Model Selection for Inference"". The reason model complexity needs to be penalized in model selection for inference is to avoid overfitting. Overfitting occurs when a model is too complex and starts to fit the data too closely, including the noise and outliers, resulting in poor predictive accuracy on new, unseen data. By penalizing model complexity, we add a constraint to the model selection process which encourages the selection of simpler models that are less likely to",2
. What is the role of logistic loss in the calculation of the AIC score?,1,0,1,0,0,"Logistic loss is not directly related to the calculation of the AIC score. The AIC score, or Akaike Information Criterion, is a measure used in model selection to balance the fit of a model to the data and the complexity of the model. It essentially penalizes the likelihood of a model by the number of parameters it has, to prevent overfitting. While logistic loss is a loss function used in logistic regression to calculate the error of a model's predictions, it is not directly",1
 DSA: How are Domain-Specific Architectures used for computationally expensive modeling problems?,1,1,1,1,1,"The concept most closely related to the question ""DSA: How are Domain-Specific Architectures used for computationally expensive modeling problems?"" is DSA: Domain-Specific Architectures are purpose-built systems for computationally expensive modeling problems.",2
. Why is a simple/interpretable model preferred in inference?,1,1,1,1,1,"The concept most closely related to the question ""Why is a simple/interpretable model preferred in inference?"" is Simple/interpretable model.",2
 Reducible Error: What causes a reducible error in a model?,1,1,1,1,0,"The concept most closely related to the question ""What causes a reducible error in a model?"" is Reducible Error: The error resulting from a mismatch between the estimated relationship and the true relationship between variables.",2
 Ideal and balanced model: How can a model with low bias and low variance be achieved?,1,1,1,1,1,"The concept most closely related to the question ""Ideal and balanced model: How can a model with low bias and low variance be achieved?"" is Ideal and balanced model: A model with low bias and low variance, which can be achieved through dimensionality reduction techniques.",2
